# highest, rank1, rank2, ..., rankn (time is in ns (i.e. 10^-9 s))
16557, 15573, 15818, 16403, 16557
5677, 5474, 5532, 5677, 4054
8032, 8032, 7107, 7916, 7971
1360, 1327, 1360, 1268, 1321
1673, 1673, 1351, 1251, 1199
1303, 1256, 1287, 1303, 1222
1391, 1334, 1361, 1329, 1391
1232, 1232, 1210, 1149, 1182
1728, 1728, 1351, 1240, 1269
1302, 1302, 1178, 1167, 1193
1645, 1645, 1271, 1171, 1157
1302, 1196, 1302, 1297, 1218
1875, 1664, 1875, 1136, 1175
1193, 1193, 1129, 1128, 1153
1309, 1309, 1291, 1206, 1166
5508, 2894, 5508, 4031, 2765
1528, 1528, 1436, 1151, 1207
1159, 1159, 1134, 1146, 1129
1608, 1608, 1191, 1259, 1287
1360, 1360, 1151, 1176, 1281
1160, 1150, 1053, 1113, 1160
1336, 1336, 1082, 1059, 1109
1368, 1368, 1327, 1352, 1244
1244, 1244, 1126, 1194, 1207
1245, 1170, 1170, 1183, 1245
1360, 1360, 1074, 1108, 1121
1235, 1225, 1095, 1235, 1185
1285, 1285, 1275, 1108, 1247
1231, 1202, 1172, 1231, 1189
1101, 1101, 1091, 1084, 1021
1509, 1509, 1189, 1339, 1259
1340, 1340, 1193, 1091, 1140
1234, 1138, 1208, 1187, 1234
1484, 1484, 1200, 1231, 1204
1146, 1104, 1098, 1146, 1116
1484, 1484, 1144, 1200, 1248
1437, 1172, 1277, 1344, 1437
1177, 1177, 1174, 1105, 1134
1158, 1158, 1130, 1058, 1078
1280, 1280, 1078, 1080, 1133
1314, 1287, 1277, 1314, 998
1165, 1165, 1097, 1057, 1122
1269, 1269, 1210, 1047, 1010
1271, 1193, 1157, 1233, 1271
1258, 1258, 1246, 1173, 1129
1184, 1184, 1172, 1166, 1080
1345, 1345, 1224, 1097, 1024
1095, 1095, 1086, 1018, 1057
1330, 1298, 1245, 1330, 1277
1321, 1321, 1128, 1169, 1227
1684, 1684, 1217, 1344, 1404
1325, 1325, 1148, 1085, 1199
1333, 1333, 1122, 1054, 1102
1227, 1227, 1061, 966, 1070
1292, 1174, 1225, 1292, 1232
1181, 1159, 1097, 1125, 1181
1528, 1528, 1271, 1114, 1196
1290, 1200, 1190, 1290, 1142
1228, 1228, 1204, 1195, 1129
1362, 1362, 1076, 1014, 1060
1530, 1530, 1226, 1300, 1369
1545, 1545, 1173, 1156, 1268
1157, 1157, 1142, 1122, 1109
1431, 1431, 1308, 1162, 1139
1448, 1448, 1364, 1446, 1318
1364, 1364, 1137, 1035, 1059
1514, 1484, 1350, 1514, 1455
1212, 1121, 1128, 1212, 1096
1404, 1360, 1219, 1347, 1404
1202, 1202, 1145, 1153, 1095
1241, 1235, 1173, 1205, 1241
1131, 1131, 1075, 1074, 1071
1148, 1119, 1078, 1092, 1148
1130, 1130, 1076, 1095, 1075
1371, 1371, 1193, 1278, 1302
1094, 1094, 1047, 1007, 1063
1096, 1096, 1047, 1037, 1051
1226, 1176, 1171, 1226, 1191
1159, 1159, 1055, 1093, 1090
1228, 1152, 1228, 1160, 1163
1338, 1278, 1197, 1338, 1286
1266, 1148, 1146, 1232, 1266
1215, 1215, 1092, 1102, 999
1187, 1187, 1154, 1162, 1154
1160, 1160, 1068, 1078, 1043
1152, 1152, 1050, 1116, 1074
1262, 1262, 1250, 1134, 1146
1381, 1336, 1276, 1329, 1381
1512, 1512, 1162, 1111, 1115
1132, 1132, 1052, 1013, 1054
1219, 1219, 1154, 980, 1089
1083, 1083, 1054, 987, 983
1362, 1362, 1081, 1126, 1163
1373, 1373, 1102, 1064, 1114
1130, 1130, 1088, 1078, 1047
1408, 1408, 1147, 1147, 1224
1158, 1096, 1056, 1075, 1158
1366, 1366, 1154, 1068, 980
1174, 1174, 1071, 1043, 1080
1411, 1411, 1162, 1149, 1288
1166, 1166, 1146, 1064, 1084
1372, 1372, 1128, 1115, 1079
1236, 1236, 1114, 1116, 1221
1384, 1384, 1261, 1053, 1075
1400, 1400, 1108, 1108, 1102
1705, 1705, 1089, 1300, 1407
1342, 1342, 1171, 1076, 1113
1298, 1186, 1226, 1298, 1150
1185, 1171, 1157, 1185, 1149
1130, 1130, 1051, 1013, 1036
1599, 1599, 1317, 1404, 1397
1290, 1213, 1142, 1231, 1290
1103, 1103, 1076, 1090, 1071
1275, 1275, 1245, 1206, 1163
1126, 1126, 1106, 1039, 1059
1173, 1145, 1173, 1162, 1126
1290, 1290, 1162, 1088, 1104
1337, 1281, 1250, 1312, 1337
1366, 1366, 1168, 1097, 1090
1254, 1219, 1177, 1243, 1254
1307, 1202, 1307, 1164, 1004
1288, 1204, 1184, 1257, 1288
1359, 1244, 1345, 1357, 1359
1350, 1240, 1137, 1307, 1350
1417, 1417, 1176, 1111, 1209
1286, 1143, 1164, 1226, 1286
1324, 1324, 1263, 1043, 1016
1275, 1200, 1135, 1209, 1275
1317, 1220, 1317, 1020, 1057
1244, 1244, 1183, 1152, 1194
1179, 1179, 1145, 1042, 1090
1657, 1657, 1135, 1264, 1379
1279, 1279, 1196, 1044, 1111
1118, 1118, 1014, 1024, 1016
1273, 1264, 1209, 1198, 1273
1445, 1445, 1430, 1051, 1144
