# highest, rank1, rank2, ..., rankn (time is in ns (i.e. 10^-9 s))
22097, 22097, 19880, 19960, 20567
2168, 2114, 2159, 2093, 2168
2383, 2234, 2383, 1653, 1725
1981, 1935, 1814, 1981, 1801
1747, 1562, 1608, 1638, 1747
4628, 3367, 4628, 4583, 3063
1539, 1539, 1478, 1488, 1478
7079, 5940, 5848, 6864, 7079
2529, 2529, 2145, 1499, 1552
1272, 1272, 1181, 887, 929
1287, 1287, 1158, 1159, 1182
1227, 1166, 1227, 1150, 1094
1114, 1083, 1114, 1077, 1084
1051, 1027, 1051, 1008, 1048
1034, 1034, 1034, 992, 1002
3284, 2043, 3284, 1788, 1914
1287, 1269, 1159, 1085, 1287
1311, 1188, 1228, 1311, 1194
1265, 1189, 1078, 1224, 1265
1571, 1571, 1158, 1008, 1053
1177, 1134, 1045, 1143, 1177
1141, 1141, 1082, 1129, 1070
1173, 1173, 1039, 1055, 1046
1227, 1200, 1154, 1227, 1173
1116, 1070, 1116, 1051, 1039
1285, 1263, 1285, 1167, 1114
1128, 1068, 1008, 1128, 1064
1046, 1005, 955, 1046, 944
1272, 1218, 1086, 1182, 1272
1240, 1240, 1146, 1159, 1142
1190, 1139, 1190, 1066, 964
1160, 1135, 1120, 1158, 1160
1176, 1160, 1176, 1045, 1009
1532, 1532, 1245, 1245, 1140
1294, 1294, 1079, 1060, 1035
1084, 1084, 1022, 1047, 1028
1128, 1128, 1062, 1109, 1058
1291, 1156, 1207, 1291, 1099
1268, 1233, 1130, 1268, 1230
1142, 1142, 1004, 1066, 1036
1207, 1109, 1139, 1207, 1071
1331, 1231, 1102, 1275, 1331
1418, 1340, 1293, 1371, 1418
1256, 1140, 1026, 1215, 1256
1225, 1213, 1139, 1225, 1225
4528, 4528, 4464, 1052, 979
1553, 1553, 1380, 1312, 1398
1193, 1185, 1086, 1160, 1193
1172, 1090, 1172, 1073, 961
1379, 1379, 1120, 1135, 1055
1369, 1369, 1209, 1165, 1135
1434, 1434, 1241, 1183, 1202
1157, 1122, 1062, 1157, 1114
1033, 1033, 923, 955, 956
1221, 1221, 1127, 1130, 1088
1362, 1362, 1171, 1224, 1255
1287, 1287, 1100, 1164, 1174
1348, 1348, 1151, 1115, 1140
1141, 1141, 1035, 1111, 1095
1183, 1103, 1089, 1183, 1078
1295, 1295, 1166, 1245, 1242
1319, 1231, 1111, 1270, 1319
1447, 1447, 1172, 1152, 1214
1121, 1044, 1001, 1121, 1088
1365, 1365, 1193, 1145, 1193
1126, 1074, 1030, 1126, 1111
1269, 1269, 1118, 1196, 1236
1272, 1230, 1095, 1272, 1260
1438, 1438, 1146, 1247, 1259
1429, 1429, 1268, 1317, 1372
1371, 1274, 1175, 1312, 1371
1215, 1215, 1116, 1066, 1107
1156, 1140, 1005, 1130, 1156
1260, 1260, 1121, 1150, 1185
1376, 1376, 1183, 1131, 1159
1442, 1442, 1269, 1253, 1253
1276, 1276, 1143, 1184, 1123
1216, 1140, 1064, 1181, 1216
1331, 1331, 1141, 1110, 1067
1142, 1142, 1058, 1091, 1092
1221, 1189, 1105, 1188, 1221
1231, 1183, 1231, 1098, 1092
1405, 1352, 1176, 1350, 1405
1224, 1152, 1060, 1205, 1224
1319, 1248, 1117, 1309, 1319
1142, 1102, 1092, 1142, 1078
1431, 1431, 1215, 1140, 1164
1133, 1133, 1029, 1117, 1069
1428, 1428, 1189, 1182, 1214
1386, 1386, 1144, 961, 1009
1071, 1071, 990, 1004, 1040
1202, 1173, 1130, 1188, 1202
1049, 1049, 950, 1030, 1045
1314, 1286, 1228, 1274, 1314
1092, 1092, 997, 986, 1019
1236, 1236, 1111, 1187, 1205
1285, 1285, 1116, 1019, 1060
1202, 1202, 1128, 1090, 1084
1085, 1085, 991, 1049, 1063
1157, 1157, 1071, 1009, 1024
1329, 1329, 1191, 1291, 1274
1322, 1170, 1119, 1247, 1322
1274, 1274, 1119, 1187, 1195
1540, 1540, 1303, 1262, 1290
5480, 1320, 1178, 5480, 5385
1121, 1121, 1033, 1102, 1102
1228, 1228, 1195, 1164, 1209
1092, 1092, 992, 1058, 1066
1288, 1200, 1130, 1288, 1235
1233, 1233, 1089, 1193, 1197
1133, 1114, 1040, 1133, 1120
1395, 1395, 1174, 1135, 1120
1152, 1152, 1052, 1103, 1076
