highest,rank0,rank1,rank2,rank3
4418044,2527551,4411916,4418044,2814807
8400,7843,7869,8400,4205
6921,6921,6883,6644,3101
6654,5978,6013,6654,2962
6334,6014,6317,6334,2953
6743,6456,6743,6282,3332
6321,6031,6118,6321,2966
6391,5921,6278,6391,2811
6694,6350,6598,6694,3048
6537,5850,6537,6368,2994
6230,6035,6230,6007,2948
6305,6204,6049,6305,2811
6199,6044,6049,6199,2830
6163,5901,6021,6163,2790
6602,6602,6284,6373,2796
6380,5955,6380,6308,2727
6151,6143,6036,6151,2867
6473,5968,6473,6340,2702
6230,5905,6230,6166,2863
6313,5957,6313,6240,2864
6197,5916,6145,6197,2997
6503,5943,6375,6503,2799
6008,5932,6008,6004,2831
6182,5853,6082,6182,2850
6518,6296,6518,6191,2818
6120,5916,6092,6120,2920
6038,6026,6022,6038,2849
6400,5942,5962,6400,3046
6319,6319,6037,6077,2845
6647,5927,5980,6647,2852
6214,6214,6036,6186,2936
6668,5914,6058,6668,2972
6069,5859,6069,6026,3124
6812,5973,6812,6054,3050
6327,6327,6116,6200,2817
6168,6044,6146,6168,2877
6199,5929,5971,6199,2885
6128,5858,6128,6105,2956
6392,6145,6392,6120,2868
6515,6044,6515,6261,2852
6093,5893,6093,6055,3383
6395,6064,6065,6395,3096
6102,6008,5909,6102,2863
6275,5912,5961,6275,2811
6090,5797,5989,6090,2926
6422,5927,6422,6205,3021
10564,5909,8638,10564,2922
6453,6311,6284,6453,2782
6235,6064,6235,6130,2862
6253,6033,6233,6253,3129
6332,5887,6055,6332,3094
6681,6041,6299,6681,3030
6382,5998,6055,6382,2857
6343,5805,6343,6097,3010
6291,5922,6235,6291,2877
6897,5917,6897,6204,2870
6224,5956,6224,6181,2895
6449,5868,5967,6449,2880
6352,5953,6352,6022,2735
6324,5994,6324,6306,2781
6472,6245,6472,6131,2880
6584,5846,6584,6220,2885
6560,6067,6147,6560,3214
6492,6017,6492,6383,2743
6426,6136,5999,6426,2863
6238,6019,6059,6238,2774
6729,5871,6257,6729,2783
10246,10246,6361,6128,2941
1649551,1647890,1649551,1647687,1645515
6368,5861,6368,6225,3501
6642,5976,6227,6642,3180
6414,6078,6102,6414,2944
6360,5997,6100,6360,3266
6444,5877,6444,6271,3137
6510,5942,6510,6326,3051
6469,6019,6469,6266,2875
6542,5854,6143,6542,2850
6363,6098,6013,6363,2970
6869,5887,6420,6869,2810
6152,6118,6067,6152,2814
6892,6059,6083,6892,3114
6568,5911,6568,6472,2911
7079,5915,6041,7079,3112
6286,5891,5945,6286,2920
6256,5935,5929,6256,2974
6149,5871,6078,6149,2915
6103,5968,6050,6103,2899
6362,5953,6321,6362,2884
6209,5955,6209,6080,2959
6663,5845,6426,6663,2943
6331,5933,6293,6331,2929
6517,5849,6517,6223,2850
6611,5965,6416,6611,2835
6713,5927,6713,6416,2885
6373,5993,6373,6067,2842
6284,6284,6166,6182,2740
6591,6484,6557,6591,3004
6311,6311,6277,6295,2831
6406,6406,6022,6088,2824
6675,5884,6372,6675,2881
6406,6406,6118,6360,2891
6485,5811,6064,6485,2829
6471,5946,6471,6172,2828
6182,6031,6169,6182,2821
8371,6044,8371,6649,2803
6158,6158,6146,6136,2889
6093,6014,6093,6087,2859
6060,5900,5995,6060,3197
6383,5871,6008,6383,2796
6634,5941,6634,6226,2847
6108,5950,6108,6090,2844
6619,5948,6088,6619,2913
6078,6024,5976,6078,3066
6486,5968,6339,6486,2837
6263,6263,5952,6112,3241
6400,5868,6400,6195,2949
6308,5897,5976,6308,2853
6182,5916,6092,6182,3157
6702,6315,6006,6702,2852
6214,5961,5996,6214,2891
6118,5994,5945,6118,3331
6453,5937,6453,6061,2941
6030,6013,5978,6030,3083
6263,6043,6014,6263,2916
6167,5982,6088,6167,2888
6250,5988,5949,6250,2963
6270,5854,6238,6270,2847
6205,5982,6205,6182,3303
6159,6077,6159,6158,2865
6466,6062,6466,6398,2860
6118,6118,5973,6087,2855
6542,6123,5966,6542,2816
6619,6273,6030,6619,2815
6270,5856,6270,6166,2852
6639,6078,6105,6639,3213
