highest,rank0,rank1,rank2,rank3
2788110,2505217,2502236,2780106,2788110
8021,8021,4721,5346,3508
5584,5584,3818,4074,2676
5520,5520,3921,3752,2026
5976,5976,3608,4308,2319
5367,5367,3775,4071,2408
5553,5553,3701,3690,2002
5247,5247,3631,3798,2012
5351,5351,3738,3775,2142
5435,5435,4540,3992,2218
5402,5402,3982,3526,2088
5520,5520,3692,3877,1989
5271,5271,3675,3738,1964
5245,5245,3603,3951,2159
5248,5248,3674,4030,2271
5377,5377,4019,3774,1862
5228,5228,3654,3593,1942
5376,5376,3628,3603,1986
5231,5231,3617,3999,2250
5234,5234,3620,3664,1858
5419,5419,3542,4045,2438
5225,5225,4048,4094,2470
5497,5497,3611,3768,2001
5488,5488,3627,3698,1963
5688,5688,3779,3674,2001
5292,5292,3687,3827,2110
5468,5468,3673,3546,1907
5409,5409,3607,3644,1908
5269,5269,4442,3928,2204
5288,5288,3547,3753,1939
5386,5386,3691,3575,1974
5428,5428,3785,4121,2232
5442,5442,4071,3593,1956
5255,5255,4070,3603,1946
5283,5283,3618,4037,2247
5228,5228,4411,4135,2243
5604,5604,3733,3818,2321
5380,5380,3673,3664,1868
5610,5610,3684,3539,2013
5230,5230,3654,3748,1973
5388,5388,3692,3668,1907
5451,5451,4041,3831,1960
5428,5428,3757,3876,2379
5784,5784,3718,3626,1849
5458,5458,3710,3674,1932
5273,5273,3735,3550,1923
5442,5442,3666,3655,2198
5415,5415,4164,3961,2224
5280,5280,3736,3564,1823
5464,5464,3594,3603,1767
5507,5507,3881,3995,1896
5246,5246,3574,3773,1927
5440,5440,3655,4137,2484
5331,5331,4211,4029,1948
5846,5846,3600,3648,1711
5251,5251,4027,3891,2188
5755,5755,3611,3657,1932
5234,5234,3655,4085,2345
5348,5348,3698,3504,1861
5575,5575,3636,3952,1941
5280,5280,3640,3971,2179
5634,5634,4089,3637,2442
5283,5283,3626,4027,2261
5836,5836,3626,3881,2157
5447,5447,4167,3943,1984
5474,5474,4412,3666,1993
5691,5691,3581,3722,1998
5374,5374,4415,3757,1853
5433,5433,3580,3757,1955
5231,5231,3550,3636,1979
5344,5344,3783,4152,2377
7042,5535,7042,3645,1984
5289,5289,3701,3912,2200
5496,5496,4529,3616,2206
5559,5559,3778,3530,2138
5470,5470,4029,4233,2252
5474,5474,3968,3773,1960
5241,5241,3747,3644,2091
5326,5326,3666,3710,1965
5444,5444,3616,3721,1743
5220,5220,3785,3509,1891
5697,5697,4119,3730,1993
5642,5642,3568,3576,2159
5243,5243,4125,3766,1968
5694,5694,3820,3934,2186
5223,5223,3695,3589,1968
5447,5447,3620,3851,2058
5368,5368,4237,3561,1913
5225,5225,3520,3628,2087
5339,5339,3612,3720,2166
5409,5409,3645,3575,1954
5277,5277,3578,3668,2064
5510,5510,3642,3987,2135
5249,5249,4312,3591,2077
5317,5317,3670,3983,2340
7104,5587,3561,7104,5313
5330,5330,4066,3779,2128
5517,5517,3682,3709,2002
5457,5457,3500,4002,2260
5248,5248,4050,4029,2200
5360,5360,3672,3885,2082
5330,5330,3957,3684,1913
5730,5730,3612,3715,1957
5447,5447,3687,4000,1964
5952,5952,3598,3947,2323
5288,5288,4106,3762,2023
5323,5323,3911,3925,2256
5435,5435,3696,4021,2313
5409,5409,3974,3977,2190
5309,5309,4100,4050,2300
5489,5489,4145,3708,1937
5352,5352,3647,3645,1970
5334,5334,3654,4089,2339
5362,5362,3690,3585,2004
5292,5292,3958,3616,1983
5596,5596,4010,3889,1917
5458,5458,3664,3773,2007
5428,5428,3877,3581,1814
5264,5264,3805,3750,1997
5263,5263,3909,3995,2214
5510,5510,3518,4049,2369
5325,5325,4106,3688,1910
5339,5339,4085,3605,1916
5470,5470,3750,3600,1886
5273,5273,3827,3608,1875
5234,5234,3987,3742,1937
5253,5253,3673,4004,2250
6351,6351,3882,4104,2560
5384,5384,3659,4024,2283
5784,5784,4496,3629,1987
5292,5292,3389,3840,2087
5661,5661,3636,3589,1834
9217,5334,3625,9217,2302
5330,5330,3675,3684,1909
5349,5349,4050,3575,1767
5284,5284,4741,3671,1885
5423,5423,3660,3510,2044
5181,5181,4141,3677,2190
5605,5605,3734,3861,2298
5494,5494,3706,3637,1860
5472,5472,3833,3564,1829
5248,5248,4461,3786,1918
5255,5255,3777,3596,1852
5415,5415,3746,3652,1913
5283,5283,4219,3999,2250
5503,5503,4249,3639,2001
5413,5413,3992,4089,2315
5540,5540,4056,3803,1899
5440,5440,4210,3752,1988
5870,5870,3766,3628,1973
5563,5563,3697,3675,1862
5343,5343,3607,3708,1912
5334,5334,3678,3654,2046
5269,5269,3679,3598,2065
5303,5303,3892,3851,2181
5681,5681,3674,3950,1899
5350,5350,3659,3877,2256
5326,5326,3590,3794,2079
5284,5284,3752,3505,1989
5436,5436,3575,3658,1934
5452,5452,3978,3730,2194
5344,5344,3949,3529,2046
5222,5222,3605,3533,1984
5408,5408,4126,3880,2054
5335,5335,4083,3860,2154
5234,5234,3865,3726,1990
5340,5340,3748,3622,1872
5243,5243,3393,3930,2222
5281,5281,3694,3650,1962
5633,5633,4637,3533,2135
5380,5380,4111,3580,1906
5494,5494,4025,3617,1880
6439,6439,3618,3936,2208
5765,5765,4282,3518,2020
5319,5319,3585,3636,2181
5826,5826,4871,3748,1909
5487,5487,3710,3486,1902
5273,5273,3714,3625,2004
5270,5270,3595,3605,1909
5411,5411,3999,3692,1893
5438,5438,3679,3790,2162
5345,5345,4401,3595,1884
5222,5222,3641,4005,2243
5297,5297,4046,3743,1967
5276,5276,3631,3864,2087
5381,5381,3669,3808,2033
5444,5444,3742,3552,1962
5669,5669,3806,3748,2020
5235,5235,3681,3874,2181
5376,5376,4030,3958,1852
5544,5544,3756,3620,1860
5533,5533,3722,3710,2013
5623,5623,3755,4231,2640
5788,5788,3767,3830,2012
5390,5390,3690,3723,2010
5299,5299,4057,3913,2119
5526,5526,3786,3781,2099
5265,5265,3641,3802,2146
5332,5332,3697,3638,2145
5177,5177,4108,3720,2107
5304,5304,4147,3605,1884
5512,5512,4452,3625,2181
5940,5940,3849,3473,2250
5268,5268,4035,3659,1849
5550,5550,3640,4025,2320
5286,5286,3860,3626,1976
5311,5311,4121,3521,2140
5591,5591,3831,3590,1914
5566,5566,3646,3565,1950
5356,5356,4192,3617,2178
5798,5744,1545,5798,4098
5222,5222,3591,3625,2115
5828,5828,3726,3755,2137
5861,5861,4122,3789,2023
5251,5251,3581,3657,1934
5368,5368,4895,3538,2339
5328,5328,3799,3509,2183
5292,5292,3717,3575,2053
5373,5373,3681,3584,1873
5297,5297,3589,3678,1893
5573,5573,3724,3539,1903
5240,5240,4170,3556,3459
5267,5267,3678,3585,2008
5779,5779,3620,3858,1962
5404,5404,3682,3762,2010
5492,5492,3789,3737,2087
5518,5518,3674,3541,1947
5330,5330,4016,3801,1954
5442,5442,3932,3742,2034
5295,5295,3669,3640,2040
6925,6925,3658,3493,1886
5256,5256,3353,3844,2012
5261,5261,3595,3570,1839
5294,5294,4073,3821,2061
5456,5456,3717,3539,3972
5396,5396,4111,3701,2017
5261,5261,3612,3791,1997
5457,5457,4014,3683,1921
5218,5218,4121,3568,1866
5863,5863,3603,3740,1851
5295,5295,4127,4286,2196
5336,5336,4419,3519,1936
5335,5335,3643,3549,1949
5854,5854,4261,3778,1988
5576,5576,3654,3791,2030
5357,5357,3584,4177,2343
5685,5685,3714,3689,1941
5246,5246,4317,3895,2153
5243,5243,3696,3615,1956
5383,5383,4485,3817,2016
5281,5281,3694,3658,2061
5501,5501,3674,3678,1796
5380,5380,4019,3763,1997
5394,5394,3712,3702,1868
5779,5779,3669,3916,1647
6123,6123,4739,4492,2298
5587,5587,3789,3784,2051
5401,5401,4572,3994,2201
5293,5293,3687,3775,2024
5302,5302,3656,3655,1957
5371,5371,3627,3738,2194
5563,5563,3720,3687,1857
5279,5279,3597,3839,2392
5504,5504,4022,3768,1987
5250,5250,3711,3523,2051
5507,5507,3686,3638,1908
5281,5281,3673,3570,1975
5395,5395,3644,3735,1819
5352,5352,3788,4014,1795
5252,5252,4159,3620,1812
5195,5195,3702,3928,2212
5444,5444,3487,3679,1983
6354,6080,6354,1241,4053
5363,5363,4346,3636,2369
5296,5296,3865,3617,2171
5287,5287,4098,3580,2436
5411,5411,3668,3823,2036
5510,5510,3648,3602,1935
5436,5436,3653,3579,1985
5461,5461,3687,3564,1954
5425,5425,3613,3633,2119
5296,5296,3651,3676,2471
5454,5454,3683,3578,1874
5265,5265,3622,3626,2528
5691,5691,3607,3591,1863
5286,5286,3598,3673,2001
5569,5569,3954,3960,2130
5401,5401,4040,3927,2113
5569,5569,3627,3549,2073
5520,5520,4015,3669,1910
5220,5220,3628,3565,1982
5348,5348,4445,3788,1954
5579,5579,3634,3775,2059
5543,5543,3745,3877,2117
5353,5353,4113,3501,1903
5294,5294,3627,3746,1947
5213,5213,3852,3694,1924
5256,5256,4141,3895,2090
5307,5307,3697,3947,2051
5439,5439,4036,3810,1911
5447,5447,3631,3657,1947
5385,5385,4081,4002,2255
5394,5394,3738,3981,2199
5461,5461,4213,3548,1771
5224,5224,4236,3514,1891
5468,5468,4061,3572,1984
5610,5610,3564,3604,1876
5311,5311,3725,3742,1913
5391,5391,3717,3748,2017
5526,5526,4177,3706,1888
5199,5199,3666,3623,1888
5241,5241,4002,3719,1895
5216,5216,3660,3620,1891
5212,5212,3633,3729,1971
5632,5632,3666,3473,1935
5265,5265,3648,3772,1959
5575,5575,3714,4052,2290
5243,5243,4137,3615,1873
5238,5238,3730,3962,2275
5679,5679,3689,3704,1992
5434,5434,4138,3615,1987
5830,5830,3760,3778,1966
5269,5269,3920,3776,1842
5219,5219,4010,4011,2257
5404,5404,3597,4104,2247
5326,5326,3634,3577,1860
5317,5317,3659,3616,1962
5723,5723,4417,4033,2191
5757,5757,3716,3729,1913
5222,5222,4054,3712,1946
5259,5259,3827,3890,2236
5222,5222,4004,3636,1840
5268,5268,3902,3631,1886
5271,5271,3643,3717,1980
5339,5339,4066,3742,1931
5487,5487,3697,3681,1866
5352,5352,4108,3984,1831
5375,5375,4048,3852,2074
5291,5291,3799,3795,2237
5422,5422,3977,4006,2256
5461,5461,3592,4103,2356
5478,5478,3854,3737,2013
5469,5469,3606,3691,1910
5272,5272,4114,3740,2024
5400,5400,4170,3585,1933
5283,5283,3701,3590,2018
5179,5179,3776,3536,1886
5244,5244,3631,3595,1908
5658,5658,3632,3765,2014
5272,5272,4450,3817,2082
5235,5235,4475,3557,1901
5424,5424,4241,3890,1970
5335,5335,4539,3511,1908
5398,5398,3625,3953,2337
5227,5227,3699,4038,2270
5335,5335,4065,3651,1848
5378,5378,3556,3702,1932
5296,5296,3624,3793,2168
5339,5339,3765,3503,2192
5250,5250,3977,3645,1855
5301,5301,4057,3567,1829
5362,5362,3684,4223,2418
5445,5445,4343,3669,1929
5267,5267,3694,3613,1833
5276,5276,3689,3566,1888
5254,5254,4475,3740,1949
5472,5472,4118,3602,2054
