highest,rank0,rank1,rank2,rank3
129154028,127513817,129154028,128640350,128741034
117650789,117650789,117449731,117100512,117424920
117877115,117877115,117688019,117319460,117639978
117645322,117645322,117508302,117107160,117463875
117781666,117781666,117594815,117273898,117579157
117713201,117713201,117579407,117217924,117498710
117726833,117726833,117471172,117153966,117500422
117730601,117730601,117442600,117200858,117504448
117664107,117664107,117396824,117110272,117447919
117601528,117601528,117380953,117082789,117431157
117592369,117592369,117305660,117061196,117364575
117674386,117674386,117399304,117190745,117501934
117657276,117657276,117436578,117151513,117486090
117567275,117567275,117292082,117081948,117382843
117594736,117594736,117346658,117072641,117382261
117639545,117639545,117419641,117084248,117420488
117570798,117570798,117284738,117105597,117409239
117688015,117688015,117423797,117146084,117443106
117572465,117572465,117249881,117028240,117379076
117572417,117572417,117270682,117030945,117384092
