highest,rank0,rank1,rank2,rank3
86276522,86276522,76843510,80953020,85074491
80405249,80405249,77801408,78493413,79184650
80802159,80802159,78211035,78900780,79590355
80792847,80792847,78177616,78867839,79557034
80933117,80933117,78342330,79032912,79723250
80896976,80896976,78284012,78974380,79664083
80709849,80709849,78108121,78798759,79488250
81024016,81024016,78420371,79111262,79800435
80633922,80633922,78036690,78728285,79417340
80109973,80109973,77533018,78224270,78914041
79665030,79665030,77096371,77787548,78477872
79498330,79498330,76933905,77625299,78314963
79425677,79425677,76853231,77545033,78234493
80456830,80456830,77882872,78573703,79262997
80679190,80679190,78121416,78811490,79500319
80397681,80397681,77808284,78499177,79189171
80103449,80103449,77516554,78206867,78895989
80101087,80101087,77507439,78197939,78887232
79885414,79885414,77291585,77981517,78670300
80323691,80323691,77723515,78414030,79103418
