highest,rank0,rank1,rank2,rank3
2538808,2492485,2490581,2527314,2538808
6707,6707,4698,6154,4469
5323,5323,3523,3555,1766
5148,5148,3402,3437,1806
5621,5621,3429,4033,2090
5058,5058,3442,3438,1783
5113,5113,3801,3364,1758
5036,5036,3407,3329,1689
5175,5175,1658,5100,3480
5071,5071,3494,3534,1907
5021,5021,3488,3396,1864
5067,5067,3417,3275,1657
5125,5125,3354,3279,1692
5410,5410,3366,3719,1700
5018,5018,3481,3352,1678
5278,5278,3336,3411,1686
5029,5029,3373,3345,1707
5070,5070,3355,3329,1719
5027,5027,3369,3335,1660
4908,4908,3331,3328,1655
5214,5214,3375,3366,1702
5010,5010,3350,3341,1703
4982,4982,3380,3362,1723
4983,4983,3378,3362,1730
5030,5030,3369,3394,1707
4988,4988,3500,3392,1787
5158,5158,3823,3114,1651
5099,5099,3412,3298,1774
5051,5051,3453,3331,1686
5065,5065,3329,3396,1870
4962,4962,3394,3295,1668
5149,5149,3680,3483,1815
4972,4972,3689,3342,1747
5094,5094,3365,3372,1730
5017,5017,3328,3363,1682
5093,5093,3724,3319,1616
5132,5132,3715,3505,1787
4997,4997,3819,3317,1663
5017,5017,3345,3279,1650
4990,4990,3731,3289,1694
5387,5387,3760,3390,1730
5184,5184,3514,3332,1600
5146,5146,3439,3312,1702
5065,5065,3783,3411,1773
5066,5066,3407,3439,1802
5105,5105,3430,3462,1880
5180,5180,3416,3459,1670
5432,5432,3579,3434,1382
5002,5002,3764,3331,1688
5048,5048,3369,3317,1647
5033,5033,3697,3441,1689
5103,5103,4110,3333,1680
5192,5192,3331,3472,1743
5061,5061,3422,3405,1741
5011,5011,3747,3330,1672
5019,5019,3435,3308,1661
5016,5016,3341,3359,1726
5373,5373,3434,3359,1765
5111,5111,3571,3121,1778
5163,5163,3346,3309,1678
4958,4958,3383,3239,1624
5101,5101,3345,3292,1646
5029,5029,3747,3313,1724
5129,5129,3791,3372,1761
5376,5376,3742,3360,1731
5470,5470,3740,3327,1683
5433,5433,3352,3364,1740
5370,5370,3332,3357,2012
5479,5479,3804,3347,1720
5379,5379,3417,3266,1695
5388,5388,3436,3256,1674
5236,5236,3537,3298,1493
5248,5248,3757,3288,1585
5217,5217,3920,3415,1597
