highest,rank0,rank1,rank2,rank3
2968765,2904192,2901770,2968765,2967089
6568,6568,4143,4319,2695
5196,5196,3715,3408,1904
5534,5534,3512,3440,1731
5751,5751,3905,3597,1763
5453,5453,3867,3294,1754
5053,5053,3383,3327,1847
5057,5057,3723,3402,1746
5451,5451,3519,3280,1673
5437,5437,3388,3512,1862
5011,5011,3369,3468,1845
5007,5007,3531,3346,1671
5054,5054,3462,3341,1713
5014,5014,3379,3324,1794
5014,5014,3813,3346,1843
5216,5216,3376,3305,1708
5032,5032,3706,3327,1787
5001,5001,3619,3285,1641
5379,5379,3364,3366,1747
5029,5029,3401,3271,1644
5169,5169,3414,3380,1586
5426,5426,3359,3406,1748
4965,4965,3345,3327,1701
5021,5021,3528,3343,1817
5364,5364,3776,3393,1662
5470,5470,3803,3364,1714
5376,5376,3350,3358,1792
5030,5030,3365,3344,1696
5165,5165,3808,3312,1520
5129,5129,3397,3330,1642
4955,4955,3473,3402,1785
5161,5161,3876,3339,1853
4997,4997,3344,3317,1848
5353,5353,3337,3356,1709
4955,4955,3490,3449,1927
5030,5030,3374,3488,1603
8110,5041,8110,3579,1879
5090,5090,3418,3299,1570
5375,5375,3372,3295,1679
5771,5771,3354,3407,1758
5005,5005,3331,3313,1669
5292,5292,3313,3430,1814
5370,5370,3636,3388,1840
4999,4999,3304,3544,1913
5003,5003,3354,3309,1702
5387,5387,3498,3302,1820
5070,5070,3815,3410,1773
5138,5138,3062,3636,2115
4983,4983,3386,3289,1681
4965,4965,3339,3292,1647
5020,5020,3370,3290,1652
5039,5039,3432,3325,1696
5145,5145,3443,3537,1737
5386,5386,3377,3337,1665
4960,4960,3335,3541,1691
5011,5011,3327,3336,1701
4970,4970,3411,3228,1604
6532,6532,3351,3338,1714
5213,5213,3359,3320,1722
5025,5025,3736,3299,1669
5362,5362,3310,3350,1731
5369,5369,3128,3515,1902
5057,5057,3486,3369,1757
5644,5644,3434,3330,1600
5447,5447,3686,3253,1818
5158,5158,3462,3406,1782
5190,5190,3350,3384,1776
4980,4980,3345,3341,1694
5147,5147,3402,3384,1652
5473,5473,3420,3292,1729
5036,5036,3348,3266,1647
5100,5100,3486,3289,1675
6935,6935,3849,3687,538
5011,5011,3367,3397,1858
5339,5339,3365,3322,1765
5077,5077,3364,3405,1663
5069,5069,3410,3307,1708
5114,5114,3410,3380,1649
5058,5058,3433,3389,1770
5068,5068,3350,3263,1750
5198,5198,3395,3328,1562
5388,5388,3369,3264,1644
4993,4993,3421,3450,1806
5041,5041,3832,3223,1831
5523,5523,3813,3403,1604
5089,5089,3944,3301,1648
5071,5071,3478,3177,1745
5142,5142,3487,3347,1754
4937,4937,3863,3356,1754
5064,5064,3523,3398,1730
4986,4986,3547,3200,1832
5007,5007,3378,3306,1659
5031,5031,3406,3371,1698
5071,5071,3914,3154,1740
5350,5350,3469,3410,1768
5114,5114,3344,3328,1684
5168,5168,3428,3360,1718
4997,4997,3622,3271,1671
5030,5030,3444,3372,1745
5112,5112,3695,3065,1778
5165,5165,3820,3382,1612
4986,4986,3415,3261,1690
5231,5231,3348,3313,1537
5003,5003,3563,3435,1800
5138,5138,3537,3508,1852
4997,4997,3407,3446,1846
5250,5250,3306,3355,1725
4963,4963,3402,3278,1697
5025,5025,3364,3220,1689
4940,4940,3357,3374,1778
5038,5038,3536,3353,1736
5236,5236,3609,3299,1666
4927,4927,3304,3358,1754
7399,7297,7399,4596,5484
5004,5004,3392,3479,1830
5026,5026,3331,3322,1689
5165,5165,3446,3391,1661
5001,5001,3344,3409,1629
5108,5108,3505,3341,1668
5132,5132,3247,3377,1752
5007,5007,3336,3326,1670
4993,4993,3370,3321,1726
5068,5068,3392,3296,1679
5045,5045,3323,3246,1655
4997,4997,3429,3486,1660
5079,5079,3334,3313,1729
5172,5172,3397,3553,1728
5150,5150,3963,3341,1867
5790,5790,3484,3324,1698
5774,5774,3370,3266,1659
4969,4969,3879,3317,1825
5366,5366,3844,3286,1705
5082,5082,3444,3603,1890
5124,5124,3381,3256,1660
5132,5132,3399,3330,1709
5406,5406,3304,3400,1786
4979,4979,3350,3349,1696
5489,5489,3720,3328,1724
5123,5123,3734,3386,1796
5151,5151,3323,3373,1848
5518,5518,3543,3345,1717
5764,5764,3305,3310,1848
5788,5788,3842,3354,1758
5390,5390,3362,3287,1954
4994,4994,3364,3352,1830
5398,5398,3711,3379,1744
5047,5047,3424,3318,1703
5317,5317,3496,3265,1645
5184,5184,3420,3440,1659
5634,5634,3803,3310,1797
5968,5968,3340,3434,1692
5528,5528,3320,3276,1644
5752,5752,3403,3267,1643
5398,5398,3432,3336,1674
5091,5091,3370,3294,1703
4978,4978,3510,3434,1956
5316,5316,3416,3295,1594
5045,5045,3402,3392,1862
5270,5270,3748,3573,1787
5078,5078,3310,3310,1649
5047,5047,3353,3355,1680
5470,5470,3384,3262,1756
5057,5057,3408,3373,1758
5056,5056,3362,3286,1672
5146,5146,3388,3383,1614
5365,5365,3406,3267,1653
5476,5476,3355,3331,1822
5022,5022,3415,3205,1689
5154,5154,3373,3309,1723
4981,4981,3483,3356,1681
