highest,rank0,rank1,rank2,rank3
5943819,4345463,5888806,5943819,4350736
1798519,1798519,1747211,1792283,1787317
1756676,1756676,1709742,1752442,1747000
1742142,1742142,1696539,1737598,1734749
1730884,1730884,1681076,1721940,1717326
1735291,1735291,1683117,1725398,1722258
1743428,1743428,1696976,1738074,1731618
1733257,1693161,1678406,1724395,1733257
1653309,1613212,1613126,1653309,1649608
1665776,1624983,1624708,1665776,1663871
1656578,1614033,1615488,1656578,1653265
1670846,1628731,1628050,1670846,1667359
1673522,1632925,1633746,1673522,1672968
1670918,1628113,1627876,1670918,1668776
1663022,1621147,1622686,1663022,1658975
1657687,1615879,1614320,1657687,1656723
1656806,1615861,1616572,1656287,1656806
1686610,1646163,1642368,1683782,1686610
1682919,1642804,1638515,1681096,1682919
1655442,1617429,1614644,1655442,1654014
1664802,1624594,1621061,1663400,1664802
1681963,1645624,1643078,1677155,1681963
1655335,1616326,1615512,1655335,1653945
1667787,1627152,1626642,1667787,1665179
1660030,1619558,1616622,1657866,1660030
1666490,1625266,1625068,1666490,1662288
1672656,1632462,1626867,1670072,1672656
1667135,1627305,1624578,1665409,1667135
1662233,1621012,1621201,1662233,1659902
1663907,1622997,1623501,1663907,1660386
1671888,1635899,1632852,1671000,1671888
1665681,1624786,1624950,1665681,1662490
1653999,1612835,1606311,1649753,1653999
1712679,1681273,1674394,1712679,1709784
1668580,1628394,1623946,1668580,1666335
1673024,1631649,1628815,1660644,1673024
1658913,1618343,1618724,1658913,1658062
1640626,1599080,1600268,1640626,1634251
1656165,1615331,1612489,1653727,1656165
1671499,1629831,1631987,1671499,1666487
1660761,1620440,1620343,1660761,1660469
1656767,1618956,1615975,1656059,1656767
1659721,1619004,1620222,1659721,1653700
1655431,1613742,1614806,1655431,1653047
1645219,1606456,1605557,1645219,1645060
1683497,1641779,1643106,1683497,1679173
1660058,1619518,1619092,1660058,1658751
1677470,1639314,1636549,1676367,1677470
1638600,1599032,1598809,1638600,1635503
1655331,1613948,1614748,1654567,1655331
