highest,rank0,rank1,rank2,rank3
1738662,1675857,1733815,1738662,1673747
48638,48156,48638,46708,46641
47637,47345,45871,47637,46203
48822,48269,48822,45356,48079
44827,44827,43518,42731,43636
45087,45087,44605,44810,44099
46805,46517,44962,46805,45248
46793,46793,46767,44579,45489
44708,44708,43632,43997,43546
46661,46661,45812,45648,46641
47303,46202,44707,47303,45838
46713,46713,44970,44212,45004
45546,45042,44601,45546,44437
46306,46306,44805,44591,45738
50698,49776,50698,45892,47038
46407,45566,45099,46407,45237
45609,45609,44432,43853,43883
49060,45801,44516,49060,45248
46075,46075,44919,45588,44428
44477,44477,43297,44241,43829
45100,45100,44029,44207,43875
46477,46477,45478,44266,44631
47282,47282,44788,44822,46622
46117,46117,45028,45448,45446
46362,46362,45517,45142,44172
47412,47412,45896,44532,44151
48494,48494,45132,45494,44818
45228,45228,43843,44226,44156
45975,45975,45668,44865,45487
46091,46001,46091,46067,44280
46288,46288,44830,44535,44652
46481,46481,45968,45041,46072
47759,47759,44786,44491,43579
46924,46597,46924,44582,44732
48883,48883,46279,44933,45166
46494,45818,44900,44914,46494
46512,45693,46512,45791,44806
46515,46515,44999,44550,44974
47669,47069,46358,47026,47669
46578,46578,45934,46079,44718
46814,46814,46636,44299,44919
46326,46326,44711,44671,45097
46293,46293,44166,44685,44808
46563,46563,45529,44919,45829
45605,45605,45352,44667,44596
47280,46655,47280,45784,44252
48213,46219,46738,48213,45808
46069,45927,45976,45474,46069
46873,46873,45484,44891,44656
46955,46955,45289,44757,44279
46737,46737,45216,45131,44567
46428,46428,45337,45602,45151
46542,46542,45610,45088,45222
47876,46699,47876,44858,44970
47568,46758,46073,47568,45853
46510,46510,45509,44948,45082
47217,46687,46392,45396,47217
45752,45752,44938,44259,43773
47138,46436,46075,44610,47138
46533,46533,45466,45205,45254
46983,46983,45130,45423,46080
45377,45377,45215,44659,44984
47236,47236,45527,44851,44841
46758,46758,45947,46585,46758
47964,47013,47964,45818,44874
46491,46491,44411,44821,44507
48600,46947,45286,43885,48600
47209,47209,44510,44837,45579
46130,46130,45263,45044,45192
46463,46463,45492,44390,43840
46016,46016,44826,45169,45640
47237,47237,46153,45370,45495
47108,47108,46108,44704,44487
51734,48996,47578,48020,51734
46352,46352,46159,46212,44976
47763,47763,45522,45019,45295
46128,46128,44890,45197,44874
45957,45814,45079,45368,45957
48290,46601,48290,45171,44597
48170,48170,47924,46080,45410
46928,46928,45705,44268,46377
46131,46131,44729,45563,44426
46238,46238,44899,44837,45395
47494,47494,46697,45671,45253
45627,45627,44603,44983,44934
46291,46291,45434,44014,44259
48794,46458,45495,45701,48794
48066,48066,46553,44925,44912
46744,46744,46013,46169,46047
47287,47287,46784,44726,46386
46926,46926,46740,44944,44586
46323,46323,46019,45724,45785
46911,46911,45624,45462,45607
49254,47028,46496,45690,49254
47456,47456,46871,44752,43846
47050,47050,45975,45151,44751
45947,45947,45212,45346,45060
46707,46285,46707,45100,45795
47575,46659,47575,45519,45312
45850,45850,45578,44756,44434
46919,45816,46919,45105,44953
46913,46913,44992,43925,43958
46954,46386,46954,44516,44894
46858,46858,45820,45361,45345
47601,47601,45165,46079,45236
46392,46392,44910,45616,45308
46583,46583,45161,44912,44152
47514,47514,45644,46708,43327
45974,45974,45186,45583,45148
46918,46918,45087,45352,45926
47132,47132,46515,44334,44315
45785,45785,44468,45721,45207
46270,46270,45256,45876,45385
48241,47794,48241,45275,45957
49360,49360,47146,44862,45454
46306,45845,44521,46306,45456
46487,46487,45774,45443,44886
46715,46715,45026,45400,44507
47054,47054,46538,45337,46524
46678,46678,46524,44642,45027
46739,46739,46209,44258,44643
47768,47768,46678,45574,46102
45904,45904,45154,45027,45210
46494,46494,45639,44630,44731
47320,47320,45450,45569,45512
46741,46568,45472,46258,46741
46769,46632,46769,44060,44048
47000,46182,46734,45958,47000
46297,46297,46165,45297,45151
46855,46356,46855,44388,45268
46899,46899,44960,44203,43443
46547,46547,45702,44687,44978
47171,46911,47171,45366,44828
49508,49508,45140,46200,45207
46917,46917,45290,44000,44046
46719,46719,45208,45112,45072
47018,47018,46117,45936,46310
46305,46305,45408,45499,44535
48278,47120,45964,48278,44729
46711,46711,45695,45187,45596
47230,47230,46483,45184,45032
45503,45503,45022,44757,44886
48193,48193,46616,46106,45753
46632,46632,45385,44462,44624
47647,47647,46370,45415,45345
45901,45901,45414,44539,44582
46323,45840,44841,46323,44821
46877,46563,45589,46877,46237
46974,46974,45355,45339,46186
46998,46998,45256,45270,45685
46616,46616,45750,44634,45204
46952,46952,45400,44450,43771
46588,46588,45864,45427,45287
45854,45708,45723,44683,45854
49778,49778,47072,46604,45201
47017,47017,46229,45306,45372
45860,45860,45353,45581,45404
45868,45868,44373,45560,44906
46108,46108,45817,45050,45125
46492,46102,45436,46492,46416
45755,45755,44841,44739,45233
46366,46366,45401,45448,45562
47420,47420,46133,44618,44489
46249,46249,45160,45348,45571
46073,46073,45955,45466,45341
47026,47026,45084,45174,44772
47147,47147,45556,43930,45095
46448,46039,45320,46448,45289
46030,46030,44737,44866,44383
46134,46134,44759,44686,44487
47540,47540,46367,45339,46308
45771,45771,45083,45368,44887
46617,45385,44037,44406,46617
46400,46400,45368,45724,44926
48750,47404,48750,44435,45195
46947,46947,46660,46333,45108
45861,45619,45318,45861,45128
46968,46968,45665,45579,44656
46343,46343,44877,45464,45717
47061,46732,45751,45264,47061
46786,46786,45707,45954,46453
46395,46395,45665,45319,45311
46775,46775,45441,45728,45404
46547,46547,46221,44571,44825
46362,46362,45256,45495,44983
46265,46265,44810,45650,45126
47897,47897,45923,45396,44902
46956,46956,45765,44082,46222
45533,45418,44637,45036,45533
46444,46444,45049,45191,44555
47362,47362,46219,45316,43821
46479,46479,46196,43685,43996
46664,46664,45244,44624,44623
47287,47260,47287,45121,44715
48298,47353,45770,46202,48298
47415,47415,46202,44515,44426
46752,46752,45154,44691,45888
47507,47507,46624,44283,44356
47088,47005,47088,44324,45712
47785,46295,47785,44304,44455
46384,46384,45794,45377,44819
46775,46775,45310,44778,44548
47184,47184,45562,45810,44778
45593,45593,44302,44272,44657
46733,46733,45866,44362,44213
46642,46642,46240,45537,45287
46694,46694,45591,44026,44584
46466,46466,46301,44098,44142
47671,46460,45650,46407,47671
