highest,rank0,rank1,rank2,rank3
2279826,632864,2279826,647076,638254
174792,173352,171315,174792,170890
166939,164271,164999,166939,162442
169144,166027,164176,169144,167132
166387,162406,161609,166387,161183
167934,167850,167934,165303,160917
170341,162304,162141,170341,166351
163884,158870,159320,163884,159506
168172,160466,161090,168172,162988
163578,156287,155409,163578,161408
164208,157558,157561,164208,159942
172446,170201,168077,172446,167813
167426,163907,164164,167426,162238
165823,159369,157000,165823,160995
165947,159646,159901,165947,162295
166554,162612,161068,166554,163939
166113,162242,162435,166113,160898
166548,163143,164018,166548,161584
169195,167378,167826,169195,163809
166745,160369,158145,166745,162476
167078,158721,158288,167078,165858
164158,156554,155387,164158,159537
165748,164186,164700,165748,162021
163049,161706,160206,163049,161289
170540,164834,165618,170540,165479
167529,160912,161463,167529,162204
169059,164052,164275,169059,165112
166828,158145,158127,166828,162416
168273,163991,164300,168273,163215
170257,166195,167229,170257,165346
167470,163108,163172,167470,163413
171029,157842,156406,171029,166506
163641,162373,162854,163641,160903
169156,163636,164784,169156,164450
173946,168388,169693,173946,171858
168639,159129,159217,168639,159274
169156,163479,163837,169156,163957
167632,165444,166022,167632,163072
167819,163409,162508,167819,166475
165456,157095,155795,165456,160256
165206,165206,163401,162868,159348
161805,157946,156333,161805,158366
163303,157411,155131,163303,159545
164026,160193,161048,164026,159439
170725,168678,169884,170725,166181
165290,156444,155258,165290,160163
166007,164987,166007,164133,160658
167936,158214,158647,167936,163321
168336,162673,163606,168336,163200
162985,157184,155996,162985,157820
161620,161119,161184,161620,157761
165227,160983,160884,165227,160485
163919,163919,161823,163598,160237
167823,164157,164038,167823,163396
165116,160242,161322,165116,161454
165332,161806,162084,165332,161552
168565,168217,168565,165777,160818
167820,162003,160715,167820,162732
167047,160153,160027,167047,162868
165436,164608,165436,165347,160845
160646,158744,156686,160646,156092
165033,157502,157213,165033,160142
163784,163784,161822,163029,160420
167493,162746,163003,167493,163102
168891,165192,166190,168891,163917
170358,164643,164866,170358,164935
165036,162728,163453,165036,161961
166790,160319,160680,166790,162934
163952,162854,163277,163952,159522
168259,163275,163238,168259,163494
161805,157848,155887,161805,157855
168483,166720,166873,168483,164277
162849,160716,157934,162849,158771
165516,162624,162858,165516,160847
166939,164438,164528,166939,162914
167528,167066,166719,167528,163082
172326,172020,172326,167620,164158
171543,165168,165638,171543,166729
166258,161212,161263,166258,161935
165789,164881,164947,165789,161648
166862,166857,166862,164600,161137
165099,161348,157922,165099,159773
166276,164483,165134,166276,161447
167508,166348,166440,167508,162964
166803,164281,164913,166803,163001
165930,159851,159532,165930,161629
163874,163325,163874,162667,159066
164517,164517,161297,162414,160111
171848,161818,162307,171848,163728
166899,162689,163034,166899,161784
166822,163640,164418,166822,162329
162571,159736,158117,162571,160711
166237,164366,164800,166237,162419
170374,170374,168154,166565,161458
169050,159308,159264,169050,164006
164055,161380,161213,164055,159447
168627,163097,163792,168627,164288
167615,163519,163611,167615,162759
166936,158986,158276,166936,163002
165115,164357,165115,162826,160369
170032,157953,156885,170032,165641
165488,160856,161650,165488,160887
164799,161892,162253,164799,160622
164150,161984,162433,164150,160523
169841,161432,161309,169841,165591
172083,163341,162082,172083,166767
168772,164929,165882,168772,163440
166681,158437,158900,166681,162663
163835,160739,161304,163835,162445
169071,159309,158537,169071,163974
163309,162645,158075,163309,159556
165232,162055,160870,165232,160304
169719,163894,162056,169719,165591
163704,161454,161902,163704,158699
167064,164179,164358,167064,162988
162737,160143,159841,162737,158886
166891,160383,160812,166891,162634
166715,162398,163251,166715,162345
162903,158491,156776,162903,158225
166511,158113,158405,166511,162073
162566,160594,161367,162566,160520
164910,158486,157725,164910,159790
166700,166700,163981,166648,161826
170481,169722,170481,169834,166160
171166,162962,163653,171166,167007
166498,162103,162660,166498,161988
168150,160115,160700,168150,163515
161037,161037,160514,160444,158479
163445,161143,158735,163445,161820
167555,161050,158842,167555,162383
173081,164343,164717,173081,168139
166237,163981,164463,166237,162203
164212,158787,156422,164212,160167
