highest,rank0,rank1,rank2,rank3
1756276,1693396,1756276,1743506,1703656
49988,49988,48031,47312,47065
47394,47368,47394,45895,47113
49207,49207,48291,46594,47429
45843,45843,44240,44989,44220
45862,45778,45862,45602,44583
46342,46342,45257,45899,45115
46959,46959,45586,45821,44862
45362,45171,45362,43824,43202
45675,45675,45334,44298,43967
47916,47916,46209,45611,45489
46304,46304,44456,44466,44554
46303,44994,44632,46303,46137
46870,46870,44841,44591,45084
47617,47617,45352,46169,46278
46983,46983,46313,44995,45073
46500,46500,45194,45270,45484
47544,47544,46127,45451,44860
46336,46336,45941,44600,43818
62494,62494,60656,45529,44685
49369,49369,45889,44786,44750
46716,46716,46290,44718,44048
46766,46766,46018,44151,43833
45927,45927,44966,44577,44849
46297,46070,44580,46297,45849
47808,47808,46873,45175,44508
48426,48426,46495,46880,45755
46241,46241,45013,45572,44928
47496,47029,47496,46272,45352
46317,46317,45395,46287,45206
45627,45627,45365,44880,44746
45634,45541,45159,44326,45634
55067,55067,49346,47886,46690
45411,45411,45373,45098,44940
47139,47139,45779,46112,44635
48134,48134,47274,45477,44479
47201,47201,46889,44548,44563
46466,46466,45440,46055,45566
47634,47634,46412,44741,46167
49341,47329,46772,46739,49341
48358,48358,47063,44962,44682
46959,46959,45586,45065,45039
47236,47236,45478,45053,45392
47226,47226,45560,44690,44853
47511,47511,45898,46980,47413
48071,48071,46436,45685,46942
48284,48284,46878,44843,44331
45841,45841,44559,44986,44830
47384,47384,46042,45373,44968
47725,47725,46850,43931,43422
47150,47150,44998,45838,45553
47430,47430,46096,45281,45182
51039,51039,46954,46212,45909
48323,48323,46361,43724,43749
47750,47750,46291,46196,45681
48211,48211,45895,46146,45126
47194,47194,45192,45390,46889
47181,47181,45484,44746,43744
47778,47778,46525,45932,45113
50207,46591,47501,47885,50207
49266,49266,46336,45550,46819
46708,46708,45761,44665,44156
47005,47005,45901,45517,45568
48498,48498,47244,46215,47245
47700,47110,47340,46815,47700
46115,46115,44938,44739,44274
47718,47718,46346,44835,45746
47158,47158,45393,45439,44861
47095,47095,46379,45256,45719
46754,46754,45858,45187,44591
47883,47883,47016,46087,45919
47158,47158,46830,46329,46962
49915,49915,46873,45862,45426
46548,46548,45543,46533,45750
48264,48264,47384,45639,46624
49091,49091,47358,45329,45223
48233,48233,47194,45231,45181
46149,46149,45747,45508,45199
48719,48719,47188,46085,45802
48110,48110,45785,46908,46792
50694,50694,47788,46248,45797
46847,46847,45888,46079,46025
47034,47034,45785,46189,45494
46954,46954,45293,45383,45011
48999,47349,45492,48999,47409
47311,47311,45533,45588,45182
48140,48140,47175,45044,44824
48087,48087,47341,45863,45721
46978,46978,45490,46349,45615
46771,46771,44925,45038,44730
47217,47217,45714,45571,45918
47287,46790,46280,46932,47287
48221,48221,46489,45889,45581
47028,47028,46317,45537,45705
48031,48031,46674,45688,45081
47802,46526,47802,45894,45664
48948,48948,46468,44910,45182
47424,47394,47424,46565,45283
48492,48492,46637,45757,45518
47635,47622,47635,45916,46873
49987,49987,48391,45543,45199
47875,47875,45970,45756,45410
48041,48041,46375,45599,45500
46750,46376,46750,45802,45174
47965,47965,46055,45110,47384
47623,47623,46939,45766,44399
48544,48544,46182,45459,45504
48031,48031,45502,45497,45293
47059,47059,47019,46902,45372
47461,47461,46291,46120,47260
47386,47386,46255,45739,46085
48410,48410,47473,46342,45416
50871,48618,46957,50871,47932
47669,47669,46222,46199,45461
47241,47241,46975,44547,45658
47626,47626,46263,45428,44627
48144,48144,45819,44847,45192
48941,48941,46417,46592,44779
47194,47194,46354,43929,44356
47788,47379,47788,45607,45972
47456,47456,45667,46177,45111
47983,47983,46023,46254,46005
48181,48181,46437,44554,43790
48038,48038,45885,47030,47241
48707,48707,46773,46407,45704
47919,47919,46253,45698,46508
47405,47405,45917,45805,46021
47451,47451,46522,45695,45236
47587,47587,46420,45227,45039
48636,48636,47948,46107,46222
46682,46682,46273,45374,45056
47205,47205,45593,46561,45237
47409,47409,46340,47059,46768
49172,49172,46974,47125,45233
47737,47737,46016,45234,44202
47374,47374,46554,46416,46054
48472,48470,48472,45996,45813
46792,46792,46169,45423,44548
47656,47656,46454,44732,44393
50675,47425,50675,44963,44974
47566,47566,45751,47309,46359
47655,47655,46555,45762,45480
48145,48145,45717,45634,44395
47906,47906,46295,46708,47474
48793,48793,47145,46518,46426
46756,46634,46756,45579,44590
47094,47094,45931,45864,45315
47696,47696,46973,47534,46509
49192,49192,47327,45947,45527
47913,47913,46421,46898,45372
48462,48462,46748,45478,44969
47539,47539,47095,45350,45112
47755,47755,47460,46259,45580
47080,47080,45862,46476,44488
48499,48499,47163,45873,44798
48075,48075,46789,45467,44498
48394,48394,46004,46330,46241
47530,47530,45448,45131,45977
47738,47738,47087,45069,44711
49538,49538,48021,45335,45401
47967,47967,46448,46883,45782
47678,47678,46772,46188,45561
46877,46746,46433,46877,45810
47929,47929,45964,46561,45852
49198,49198,47629,45826,46218
47490,47490,45362,46053,45585
47657,47657,46352,45004,44815
48940,48940,47059,44903,44766
48019,48019,45991,46242,45968
48381,48381,46407,46118,45205
47453,47453,46671,45471,45652
47929,47929,46925,45809,47003
47146,47146,46054,45559,45159
48239,48239,46768,45648,46529
48212,48212,46675,46388,45429
48473,48473,46998,44703,44034
47010,47010,46108,46070,45041
47468,47468,46072,44610,45093
49940,49940,45957,46215,46182
48440,48440,46755,44420,44595
47794,47794,46571,44562,44594
47109,47109,45493,45032,44243
47211,46513,47211,45800,44837
47243,47243,45718,44792,44096
48084,48084,45715,45774,45955
47627,47627,45998,45494,45338
48140,48140,46430,46013,45663
47291,47291,46430,45945,45233
46664,46664,45370,44599,45004
47951,47951,46505,45684,45418
47360,47360,46430,46647,45543
48080,48080,46156,43834,47363
47526,47526,46208,45125,45247
47698,47698,45684,45546,44935
47229,47063,45305,47229,45403
46668,46668,45106,44498,44315
47201,47092,47201,44396,45728
48403,48403,47336,46624,45932
54007,54007,48352,45246,46071
47195,47195,46400,46621,45625
47575,47575,45592,45805,45403
48840,48840,46337,46354,46179
47764,47764,46646,45184,45531
47162,47162,46173,45181,44772
49040,49040,46318,45606,45614
48364,48364,47270,45237,44267
47421,46805,47421,44935,44844
47023,47023,46182,45135,44277
47177,47177,46987,45523,45276
47601,47601,46780,46443,46286
45856,45856,45282,44955,44925
47571,47570,45695,44732,47571
47393,47393,46250,44450,45718
47894,47894,46854,45738,45177
46648,46648,45446,45507,45385
48030,48030,46088,44761,45301
48687,48687,46570,45183,45148
48295,48295,47009,45863,46612
50136,50136,44926,44969,45105
48199,48199,46458,45283,44876
47879,47879,45482,46128,45756
47712,46931,47712,45553,45513
46558,46558,45338,45501,45700
46709,46640,46709,45481,44508
47665,47665,46446,44345,44419
46407,46407,45488,45260,44900
47016,47016,45753,45836,45422
47335,47335,45962,44690,44278
48492,48492,46221,45141,44745
47438,47438,45770,45496,44923
47174,47174,45401,46304,44563
48513,46916,46766,45535,48513
47824,47824,46173,45488,45072
45678,45678,44463,44957,45174
46756,46531,45912,46598,46756
46924,46924,46543,44535,45151
46777,46777,45098,45264,45912
46555,46555,45830,46136,46071
46585,46585,45128,45464,45075
49127,49127,47335,46150,45560
47335,47335,45779,45810,44367
46008,45965,44171,46008,45733
46967,46967,45560,45825,45816
48114,48114,47099,45780,45698
47864,47864,46457,46204,45431
47714,47714,46503,45892,44525
46542,46542,45352,45932,45227
47160,47160,45484,45732,45860
47833,47833,45527,44734,43697
47623,47623,45942,45459,45113
46753,46753,46403,44828,45057
47056,47056,45661,46190,45544
46110,46110,45892,45849,44801
47840,47840,45421,45892,45563
