highest,rank0,rank1,rank2,rank3
1681864,19887,72703,1681864,1635164
12343,12343,10472,11362,10496
10253,10253,9631,8877,9488
12237,11085,12237,10290,11794
10178,10178,9754,9277,8928
10412,10412,9586,9087,8799
9490,9490,9193,8843,9031
9492,9492,9219,8921,9065
9611,9427,9236,8888,9611
9614,9614,9375,8612,8953
9460,9460,9203,9096,9158
9529,9529,8626,8682,9045
9965,9965,9453,8582,8608
9583,9583,9270,8336,8863
9112,9106,8767,9112,8974
9444,9444,8829,8530,9099
9678,9678,8865,8849,9228
9541,9541,8835,8640,9492
9668,9103,9103,8357,9668
9560,9431,9560,8661,9048
9406,9406,9338,8694,8880
9223,9223,8608,8529,9077
9766,9766,9387,9234,9207
9288,9288,8667,8440,9049
9801,9248,9801,8601,8725
9605,9605,8573,8287,9466
9375,9375,8888,8638,9316
9425,9425,8439,8546,9092
9621,9621,8853,8752,9285
9480,9480,8683,8575,9129
9438,9152,9438,8615,8722
9415,9415,8521,8364,9139
9317,9308,8774,8383,9317
9752,9752,9284,8713,8796
9944,9944,8826,9078,9229
9433,9356,8549,8202,9433
10136,10136,9533,8550,8750
10045,10045,9272,8624,8825
9331,9219,9331,8844,8915
9366,9366,8665,8675,9235
9521,9340,9521,8748,8667
9741,9741,8665,8577,9394
9282,9282,8849,8614,9013
9371,9371,8903,8869,8957
9710,9710,8941,8684,9092
9785,9785,8563,8614,9217
9434,9434,8806,8382,9098
9496,9496,8611,8615,9161
9386,9386,9362,8595,8541
9462,9462,9020,8575,9198
9872,9872,8701,9279,8984
9617,9486,9617,8708,9008
9701,9701,9078,8824,8709
9445,9445,9254,8561,9012
9232,9232,8640,8666,9007
9400,9400,8763,9012,9132
9556,9556,9382,8633,8682
9975,9975,8858,8802,9164
9441,9420,9441,8302,8703
9492,9492,9121,8645,9190
9649,9649,9210,8476,8648
9494,9308,9494,8225,9072
9492,9492,8678,8660,9116
9454,9454,9020,8487,9331
9284,9284,8613,8498,9064
9752,9752,8650,8929,9249
9827,9827,8947,8938,8912
9480,9480,8725,8516,9441
9724,9724,9289,8626,8704
9648,9648,9406,9264,9211
9405,9405,9232,8633,8580
9892,9892,8766,8679,9058
9434,9331,9434,9408,9284
9544,9494,9544,8679,8887
9747,9747,8707,8589,9068
9501,9501,8772,9120,9249
9672,9672,9436,8300,9039
10128,9602,10128,8835,8863
9167,9149,9167,8510,9031
9544,9146,9544,8455,8741
9203,9203,8810,8755,8987
