highest,rank0,rank1,rank2,rank3
1674191,1613819,1674191,1673313,1633136
17124,16640,14654,17124,13927
16707,16707,14382,14317,13919
16263,16263,14080,14562,13610
16669,16669,14848,14729,13339
16643,16643,14864,15005,13951
16509,16509,14539,14797,13803
16274,16274,14080,14578,13758
16154,16154,13404,14864,13261
16499,16499,13751,14686,13175
16883,16883,14490,14671,13707
16642,16642,14588,15161,13833
16323,16323,14123,15044,13561
16634,16634,14006,14689,13713
16750,16750,14089,15004,14580
16831,16831,14458,15792,13788
16250,16250,14805,14759,14174
16715,16715,13715,15896,13502
16435,16435,14174,14646,13891
16263,16263,14415,15395,13448
16989,16989,14347,15636,13894
16447,16447,14704,14371,13247
16861,16861,14211,14344,13308
16633,16633,14071,14970,13246
16350,16350,13846,14260,13381
16635,16635,13767,14531,13050
16466,16466,13991,14197,13084
16685,16685,14015,14021,13038
16421,16421,14351,14705,13209
16426,16426,14247,14643,13239
16265,16265,13907,14229,13409
16317,16317,14955,14188,13209
16365,16365,13690,14287,13115
16017,16017,13997,14647,13115
16132,16132,14133,14281,13064
16263,16263,13660,14534,13189
16353,16025,12087,16353,13718
16085,16085,13791,14366,13104
15940,15940,14070,14665,13250
15916,15916,13551,14117,13369
16163,16163,14256,14570,12985
16429,16429,14331,14583,12999
15778,15778,13959,14451,13657
16053,16053,14087,14525,13152
16232,16232,13638,14595,13018
16025,16025,14343,14803,13507
16032,16032,13851,14561,13088
15948,15948,13852,14670,13139
16029,16029,13732,14431,12976
16153,16153,13975,14373,13765
15886,15886,13971,14411,13177
16186,16186,13772,14314,13093
16450,16450,13877,14428,13346
16304,16304,13738,14284,13771
16119,16119,13987,14927,13892
15977,15977,13645,14432,13134
16205,16205,14147,14539,13299
16259,16259,13524,14073,13130
16302,16302,13768,14270,13225
16412,16412,14120,15356,13282
16359,16359,14018,14704,13641
16041,16041,13834,15001,13938
16400,16400,13993,14836,13364
16422,16422,14359,15216,13370
16589,16589,14244,14714,13375
16001,16001,13725,14333,12950
16805,16805,14010,14188,13280
16137,16137,13706,14425,13054
16315,16315,13497,14779,13584
16299,16299,14815,14530,15397
16731,16731,14104,14913,13832
16283,16283,13903,14409,13458
16401,16401,14043,14806,13084
16509,16509,13763,14553,13464
16048,16048,13703,14358,13353
16247,16247,14493,14508,12918
16170,16170,13830,14396,13315
15999,15999,14385,14445,13728
16145,16145,13736,14346,13411
16069,16069,13973,14975,13281
16102,16102,13851,14384,13280
16448,16448,14091,14572,12948
16182,16182,13812,14195,13405
16151,16151,13841,15265,13769
16926,16926,13642,14277,13701
16080,16080,14407,14630,13684
16120,16120,13949,14361,13372
16148,16148,13793,14527,13070
16102,16102,14286,14305,13048
16829,16829,13503,14576,13399
16350,16350,13994,14637,13682
16557,16119,11844,16557,13084
16471,16471,14229,14256,13073
17340,16455,13871,17340,13258
16066,16066,13963,14392,13284
16313,16313,13800,14776,13463
16158,16158,14522,14584,13514
16164,16164,13781,14482,12957
16121,16121,13860,14565,13449
17613,16511,13774,17613,13334
16186,16186,13940,14820,13347
16140,16140,13809,14853,13125
16104,16104,13756,14213,13481
16046,16046,13788,14413,13197
16274,16274,13832,14457,13036
16912,16912,13868,14704,13056
16450,16450,13715,14481,13128
16172,16172,13912,14553,13112
16412,16412,14020,14397,13244
15919,15919,13548,14671,13210
16196,16196,13529,14525,13127
16509,16509,13733,14717,13136
16022,16022,13832,14300,13088
16313,16313,13640,14207,13173
16494,16494,14100,14831,13065
16286,16286,14235,14607,13257
16621,16621,13970,14650,13286
16562,16562,13626,15060,13194
16072,16072,14015,14770,13544
16152,16152,13912,14331,13252
16733,16733,13953,14549,13119
16593,16593,13919,14648,12924
16275,16275,13646,14687,13539
16139,16139,13754,14074,13206
16420,16420,13846,14964,14022
16385,16385,14201,14519,13282
16341,16341,13935,14518,13901
16257,16257,14005,14401,13469
16302,16302,13971,14763,13416
17133,17133,14036,14611,13237
16180,16180,13725,14498,13344
16283,16283,13957,14367,13238
15925,15925,13660,14399,13057
16554,16554,13378,14634,13594
16170,16170,14013,14414,14117
17074,17074,13746,14695,13636
16249,16249,13865,14590,13072
16223,16223,13786,14508,13069
16447,16447,14489,14263,13208
16158,16158,13962,14375,13088
16411,16411,14324,14288,13891
16279,16279,13843,14529,13032
16061,16061,13817,14395,13584
16397,16397,14082,14231,13327
16190,16190,13970,14721,13659
16345,16345,13739,14372,13543
16466,15883,11847,16466,13284
16228,16228,14124,14382,13268
16480,16480,14023,14369,13580
16477,16477,14007,14510,13525
16377,16377,13767,14802,13098
16528,16528,13889,14641,13237
16519,16519,13783,14478,13273
16379,16379,13701,14507,13056
16116,16116,13990,14506,13177
16846,16267,16846,10248,13227
16203,16203,14112,14320,13186
16201,16201,13971,14440,13225
16124,16124,14161,14483,13596
16169,16169,13944,14006,13087
16217,16217,14405,14016,13165
16104,16104,15072,14480,13344
16266,16266,13932,14330,12947
16182,16182,13845,14741,13286
16531,16531,13775,14829,13154
16050,16050,13616,14619,13357
16205,16205,13906,14067,13069
15961,15961,14258,14656,13197
16175,16175,13876,14439,13070
16322,16322,13842,14941,13276
15951,15951,13928,14693,13408
16032,16032,13952,14709,13365
16513,16513,13647,14682,13219
16214,16214,13806,14454,13211
16154,16154,13705,14445,13132
15974,15974,13604,14796,12882
15891,15891,13989,14591,13102
