highest,rank0,rank1,rank2,rank3
1732875,1650810,1732875,1670263,1653637
24039,23941,24039,22312,23851
23569,23569,22688,21586,21086
25103,23388,25103,22151,20773
25948,25948,22586,21395,21430
22162,22002,22162,21007,21832
22849,22849,22168,21373,21912
22325,21954,21822,22325,21750
22671,22671,21887,21403,20924
22717,22717,22025,20716,21514
22814,22814,22445,20722,20571
23297,22438,22833,21240,23297
23531,23531,22054,20557,20957
22935,22935,22031,21440,21338
22330,21898,22330,21410,21551
22725,22725,22078,21383,20861
22261,22103,22261,20970,21454
22585,22037,22585,20871,21030
22091,22091,21947,21052,21090
22045,21871,22045,21114,20853
22602,21644,22602,21015,21027
21872,21872,21547,20721,21085
22286,21675,22286,20927,21132
22140,21743,22140,21434,20472
21778,21526,21778,20537,20615
21899,21899,21778,20901,20679
21917,21349,21917,21021,20669
23425,22673,23425,20857,22437
22435,22435,22288,21551,21612
22868,22243,22868,21530,21451
23061,22195,23061,21079,21717
23047,21994,23047,21258,20534
22850,22223,22850,21163,21100
22967,22967,22872,21855,20976
22677,22677,22493,21477,21284
22668,22668,22317,21114,21094
22419,22419,22260,20968,21409
22440,22440,22056,20787,21684
22337,22337,22217,21167,21286
22403,22403,22107,21072,21104
21999,21999,21939,20968,20855
22832,22639,22832,20969,20670
23241,22181,23241,21142,20489
22828,22045,22828,20744,20930
22378,22067,22378,20847,20993
22621,22068,22621,20664,21290
23268,22117,23268,21464,20713
22008,22008,22003,20829,20776
22291,21583,22291,20514,20781
22601,22094,22601,20608,20539
22237,22237,22202,20724,21264
21913,21640,21913,20699,21149
22345,21581,22345,20548,20927
22355,22355,22134,21170,20469
22162,21588,22162,20419,20604
23118,23118,22365,20669,20352
22454,22315,22454,20657,20516
22383,22383,21947,21129,20969
22893,22893,22152,20526,21357
22914,22335,22914,21089,20714
23300,22796,23300,21385,20935
22431,22431,22286,21432,20874
22915,22915,22405,21414,21420
23463,22088,23463,21165,23110
21937,21685,21937,21225,20769
22068,21713,22068,20875,20729
22091,21958,22091,20973,20709
22455,22455,22125,21301,21044
22524,22261,22524,21079,20885
22419,22419,22239,20573,20895
22770,21521,22770,20772,20835
22230,22230,22135,20529,21062
22604,22604,22273,21529,20926
22028,21672,22028,20895,20549
21984,21952,21984,21030,21309
22447,22083,22447,20683,21128
22353,22353,22036,21408,21218
22288,22288,21999,20726,20573
22144,22144,21958,20586,20761
21931,21931,21881,20577,20510
22345,22345,21773,21355,20604
22600,22040,22600,20978,20531
22340,22316,22340,20735,21068
22359,22359,22140,20636,20479
23833,22775,23833,20880,20753
22153,22153,22121,20936,20599
22789,22789,21851,20744,21189
22414,21951,22414,21115,20501
23005,22987,23005,20536,20967
22689,21767,22689,21385,20710
22435,22310,22435,21159,20352
22498,22498,22363,20719,20468
22142,22093,22142,20674,20733
22229,22229,22171,21130,20336
22890,22890,22185,21343,20718
22066,21886,22066,20944,20915
23034,23034,21933,20591,20797
23291,22183,23291,20820,20992
23081,22201,23081,21025,20665
22515,22140,22515,20957,20372
22684,22422,22684,20921,20580
22980,22380,22980,20665,20983
22526,22318,22526,20796,20888
22389,22272,22389,20855,20719
23073,22555,23073,21305,22881
22173,22173,22130,21092,20697
22218,22175,22218,20733,21106
22559,22203,22559,21742,20835
22531,22531,22531,21045,20337
22145,21766,22145,20666,20464
22625,22371,22625,20981,20583
22274,22274,22251,21868,20430
22619,22094,22619,20677,20889
22328,21478,22328,20773,20942
22195,22195,22091,21618,20976
22466,21644,22466,20987,20477
22862,22290,22862,20666,20904
22030,22030,21956,20356,20980
22429,21850,22429,21201,20885
27209,24298,27209,23205,20783
23916,23916,22562,20843,20677
22743,21975,22743,21025,20731
22228,22228,22007,20743,20933
22440,22120,22440,20830,21213
22169,21732,22169,20464,20540
22252,21979,22252,21092,20507
22453,21874,22453,21191,21031
22699,22362,22425,21321,22699
22499,21990,22499,21249,22175
22315,21795,22315,21061,20447
22535,21858,22535,20838,20616
22341,21928,22341,20827,20474
22282,21634,22282,21580,20673
21954,21954,21824,20903,20620
22017,21711,22017,21028,20789
22047,21860,22047,20824,20629
22095,22095,22038,20790,20229
21969,21751,21969,21382,20257
22111,22111,22005,20732,20999
22318,22018,22318,20612,20847
23316,23316,22412,20950,20937
22669,22669,22323,21104,21221
23419,23419,22681,21071,20963
24370,22131,24370,20990,20570
22592,22592,22519,21231,21059
22906,22630,22906,20925,21697
22536,22536,22508,21061,21132
22275,22275,21992,21076,20617
22598,22598,22333,20624,20439
22218,22132,22218,20850,21030
22567,21959,22567,20997,20651
22399,22219,22399,20919,20178
22231,21875,22231,20665,20488
22047,22047,21944,21165,20682
22555,22555,22109,20522,21298
22432,22163,22432,20699,20952
22420,21818,22420,20988,20677
23367,23367,22522,20660,20395
23215,22463,23215,20824,20886
22610,22105,22610,21292,20734
23012,23012,21710,21125,21140
22674,22674,22305,20590,20342
22588,22588,22203,20840,21231
22356,22356,22061,21245,20255
22580,21838,22580,20812,20516
22640,22640,22443,20680,20919
22437,22437,22270,20881,20744
21865,21766,21865,20534,20527
23765,23765,22567,21028,20270
22979,22979,22508,20815,20721
22607,22171,22607,20738,21064
22290,22178,22290,20731,20982
22743,22743,22550,20868,20814
22498,22295,22498,20636,20775
22901,22901,21919,20972,20726
22681,22524,22681,20449,20570
22417,22417,22263,20542,20938
22314,22314,22152,20562,20665
22342,21695,22342,20503,20897
22883,22883,22748,20571,20988
23360,22092,23360,20672,20730
24083,22396,22424,20621,24083
22529,22182,22529,20798,21110
22089,22089,21886,20743,20751
22850,22850,21946,20945,20440
22310,21979,22310,21085,20637
22468,21937,22468,21112,20484
22503,22503,22348,20527,20739
22552,22552,22089,21036,21032
22681,22681,22523,20888,20632
22503,22503,22249,20614,20517
22412,22117,22412,20935,20422
22511,22395,22511,20548,20797
22791,21863,22791,20711,22386
22610,21954,22610,20787,20280
22221,21867,22221,20642,20959
25091,22602,25091,20692,21271
23716,23716,22494,21570,20890
22050,22040,22050,20715,21072
22774,22774,22565,20796,20723
22654,22486,22654,21316,21106
22410,22410,22325,20699,20869
22462,21690,22462,20771,20801
22333,22147,22333,20777,20537
25562,25562,22209,20817,20808
23259,23259,21827,20496,20686
22765,22765,22023,20937,20845
22608,22593,22608,20591,20891
22354,22300,22354,21318,20815
22175,21948,22175,21011,20870
22712,22712,22074,20639,21058
22319,22319,22161,20748,20814
22775,22440,22775,20725,20863
22416,22416,22221,21219,20886
22613,22409,22613,21135,20937
22187,22187,22111,20533,21288
22516,22516,22312,20842,20838
22313,22313,22097,20830,20848
22201,22201,22180,20642,21043
22212,22208,22212,21291,20936
25143,23084,25143,21135,20642
22031,22031,21625,20739,21131
22490,22382,22490,20652,21221
22068,22068,22061,21186,20519
22533,22307,22533,21237,21061
22494,22494,22224,20967,20977
22156,21962,22156,20725,21022
22008,22008,21834,20810,20524
22031,22002,22031,21534,20858
22147,22074,22147,21433,20960
22493,22493,22428,20412,20443
22558,22558,22348,20860,20321
22188,22188,21794,20604,20726
22066,22036,22066,20636,20658
22819,22342,22819,20599,20507
24900,22906,24900,21697,20850
22755,22755,22314,20791,20652
22748,21773,22748,20419,21183
22482,22482,21971,20776,20630
22496,22373,22496,21284,21464
22809,22809,22417,20627,20958
22292,21894,22292,20710,20499
23473,22253,23473,20827,20749
22278,21686,22278,21189,20917
21998,21696,21998,21352,20836
22325,22130,22325,20500,21069
22355,22257,22355,20563,21683
22087,21646,22087,21039,21264
22905,22905,22013,20954,20631
22356,22356,21881,20760,20512
22690,22690,22490,21280,21178
22610,22610,22202,20666,20426
22262,22196,22262,20705,20587
22684,22684,21985,20830,20496
22127,22123,22127,21418,20703
22157,21880,22157,20666,20911
22859,22081,22859,21553,20780
22333,22333,22064,21136,21392
23033,23033,22534,20826,22281
22143,22143,22009,20701,20919
22137,21895,22137,20872,20776
22414,22054,22414,20467,20618
22130,21992,22130,21151,20542
22327,21987,22327,21610,20617
22071,21685,22071,20768,20789
22756,22330,22756,20862,20647
22299,22059,22299,20451,20999
22872,21817,22872,20570,20349
22250,21970,22250,20574,20908
22437,21934,22437,20888,20724
22450,22193,22450,20964,20612
22161,22058,22161,20562,20612
22583,22583,22034,20644,20730
26870,22275,23983,26870,22808
22611,21873,22611,20625,20749
22169,22169,21832,20459,20453
22800,22800,22125,20700,20458
22685,22144,22685,20729,20855
22402,22104,22402,21043,20601
22522,22074,22522,20896,20924
23017,22489,23017,21175,20674
23062,23062,22450,20821,21079
22954,21980,22954,20562,21329
22303,22289,22303,21602,20707
22542,22133,22542,20560,20479
22381,22381,22275,20415,21013
21853,21785,21853,20581,20749
22207,21953,22207,21013,21155
21921,21890,21921,20647,20766
22121,21776,22121,20927,21240
22561,22016,22561,20714,20931
22555,22473,22555,20757,20304
22161,21751,22161,20789,20769
22734,22734,21593,20421,20555
22565,22038,22565,20772,20388
22915,21951,22915,20865,20195
22424,22424,22307,20653,20749
23261,21732,22036,23261,20508
22425,21570,22425,20819,20806
22347,22115,22347,20713,20608
22211,22211,22159,20750,21027
22904,21820,22904,20873,20637
22602,22375,22602,20652,21185
22318,22318,21831,20852,20947
22440,21527,22440,20547,20649
22599,21942,22599,21378,21177
22816,22816,22300,20775,21020
22216,21616,22216,21075,20433
22120,22120,21932,20749,20548
22354,22354,22211,20676,20904
22509,21986,22509,20848,20422
22552,21878,22552,20636,20531
23840,22381,23840,20703,20759
22709,22140,22709,20748,20944
22389,22064,22389,21418,20506
22561,21667,22561,20690,20611
22569,22094,22569,21431,20983
22638,22638,22397,20664,21036
22411,22022,22411,20987,20416
22002,21933,22002,21656,21184
22621,22361,22621,21151,20931
22420,22341,22420,21000,20864
22607,22441,22607,21498,21306
22441,22036,22441,21245,21572
22269,22238,22269,20842,20651
22226,22226,22226,20639,21102
22107,22009,22107,20628,20747
22756,21969,22756,20512,20812
22536,22239,22536,21198,20443
22158,22158,21989,20490,20776
22161,21838,22161,21104,20476
23077,22131,23077,21094,21213
22646,21774,22646,20891,20475
22294,22294,22153,21027,20641
22679,21771,22679,20581,21070
22334,21985,22334,20759,20469
22562,22297,22562,21260,20965
22310,22292,22310,20666,21054
22183,22090,22183,21491,20546
22331,22331,22138,21169,20502
22544,21808,22544,20905,20861
22288,22098,22288,20936,21124
22324,22022,22324,20588,21090
22533,22533,22437,20921,20849
