highest,rank0,rank1,rank2,rank3
1667398,1615260,1667398,1614843,1611614
9960,9960,9279,7017,8465
9719,9719,8486,6797,8444
9541,9541,8253,7438,8404
9817,9817,7913,6832,8224
10613,9347,7908,10613,8446
9285,9285,7974,6981,7974
9565,9565,8191,6766,8613
9375,9375,8426,6550,8219
9263,9263,8315,6664,7683
9522,9522,8757,6661,8119
9581,9581,8119,6729,8371
9324,9324,8251,7100,8079
9272,9272,7940,7122,8260
9386,9386,8608,6642,8282
9576,9576,8453,6572,8060
9591,9591,8663,7061,8356
9993,9993,8453,6647,8123
9466,9466,8072,6481,7968
9628,9628,8581,6634,8393
9728,9728,8062,6450,7857
12128,12128,8505,6834,7754
9505,9505,8357,6947,7820
9508,9508,8072,7129,8366
9366,9366,8009,6869,7943
9421,9421,8292,6912,8025
9387,9387,8089,6678,8092
9635,9635,8149,6981,8221
9350,9350,7978,7311,7973
9641,9641,8350,6704,7933
9485,9485,8106,6718,7951
10186,10186,7706,6616,8102
9816,9816,8105,6607,7767
9288,9288,8243,6489,8728
9864,9864,8534,6387,7689
9686,9686,8227,6388,7768
10373,10373,8172,6481,7707
9616,9616,8104,6715,7696
9649,9649,8110,6476,7787
9407,9407,8287,6407,8242
9345,9345,8265,6342,7691
9285,9285,8410,6423,8019
9494,9494,8435,6418,7691
9766,9766,8092,6384,7670
9288,9288,8175,6396,7803
9318,9318,8060,6749,8137
9367,9367,8236,6514,7632
9349,9349,8020,6397,8016
9307,9307,8306,6550,7687
9380,9380,8065,6570,7791
9789,9789,8125,6796,8170
9607,9607,8796,6458,7975
10211,10211,8495,6392,7709
9570,9570,8100,7137,7778
9564,9564,8279,6574,8053
9594,9594,8191,7015,7840
13305,9499,8159,6453,13305
9560,9560,8863,6834,8190
9491,9491,8214,6815,7822
9956,9956,8441,6994,8228
10747,10747,8652,6625,7880
9635,9635,8701,6495,7860
9818,9818,9101,6630,7852
9474,9474,8032,6853,7959
9500,9500,8058,6464,7754
9476,9476,8034,6275,8147
9381,9381,8133,6455,7741
9274,9274,7805,6482,8055
9321,9321,8023,6533,7674
9752,9752,8162,6354,7955
9256,9256,7967,6472,7936
9214,9214,7949,6372,8145
9326,9326,8126,6656,7737
9302,9302,8249,6480,7655
9279,9279,8134,6426,7800
9558,9558,8112,6403,7636
9241,9241,8048,6380,7943
9279,9279,8029,6420,7668
9359,9359,8075,6790,7978
9246,9246,7924,6592,7739
9274,9274,8114,6436,7916
9253,9253,8008,6464,8226
9275,9275,7985,6512,7735
9297,9297,8009,6355,7740
9415,9415,7993,6403,7580
9173,9173,8381,6691,7710
9283,9283,8119,6441,7749
9203,9203,7967,6429,8208
9500,9500,8042,6489,7705
9363,9363,8240,6471,7645
10859,9338,7997,6435,10859
9432,9432,8527,6596,7906
9335,9335,7993,6352,7688
9268,9268,8275,6477,8142
9307,9307,8061,6698,7756
9293,9293,7975,6538,7861
9446,9446,8279,6455,8052
9211,9211,8088,6680,7747
9312,9312,8077,6513,7736
9374,9374,8062,6392,8128
9253,9253,7903,6354,7698
9550,9550,7992,6485,8102
9256,9256,7922,6411,7697
9702,9702,7989,6589,7756
9280,9280,8006,6455,7714
9191,9191,8343,6551,7565
9373,9373,8174,6731,7665
11703,9503,11703,8549,8316
9377,9377,8014,6540,7980
9400,9400,8210,6515,7794
9329,9329,8010,6522,7672
9502,9502,7899,6469,7731
9250,9250,8016,6331,7932
9394,9394,7913,6999,8563
9634,9634,8284,6453,7726
9223,9223,8366,6326,7752
9312,9312,7964,6377,7662
