highest,rank0,rank1,rank2,rank3
1624357,1623572,1621684,1624357,1623765
8159,6826,7749,8117,8159
6739,5515,6479,6729,6739
7150,6067,6811,6993,7150
6965,5769,6786,6907,6965
7026,5726,6722,6969,7026
7096,5892,6830,7096,7085
6477,5508,6111,6477,6460
6441,5224,6151,6383,6441
6923,5653,6614,6828,6923
7250,5614,6516,7250,6836
6457,5272,6103,6392,6457
6766,5599,6488,6696,6766
6434,5234,6098,6434,6373
6726,5340,6726,6439,6495
6805,5734,6532,6610,6805
6591,5307,6228,6441,6591
6540,5344,6208,6540,6499
7477,6061,7386,7477,7332
6766,5505,6392,6733,6766
7052,6089,6842,6958,7052
6432,5339,6184,6396,6432
6764,5501,6350,6764,6490
6978,5889,6729,6941,6978
6673,5243,6154,6673,6383
6310,5228,6137,6261,6310
7194,5976,6872,7187,7194
6506,5278,6200,6506,6443
6478,5362,6478,6305,6395
6819,5707,6819,6719,6793
6896,5514,6361,6476,6896
6808,5919,6571,6705,6808
7246,6035,7225,7173,7246
9124,5372,9124,6520,6523
6370,5261,6122,6257,6370
6926,5821,6658,6924,6926
6879,5681,6539,6736,6879
6588,5448,6375,6587,6588
6799,5751,6548,6739,6799
6837,5602,6435,6688,6837
6481,5305,6172,6414,6481
6919,5783,6663,6850,6919
6503,5375,6232,6394,6503
6527,5463,6258,6439,6527
7327,5924,6770,7049,7327
6602,5451,6325,6562,6602
6816,5692,6616,6710,6816
7515,6003,6864,7515,7178
7048,5798,6565,6753,7048
6707,5526,6258,6707,6483
7005,5800,6669,6940,7005
7131,5477,6354,7131,6459
6565,5348,6238,6539,6565
6903,5837,6685,6804,6903
6519,5494,6312,6420,6519
6551,5379,6551,6497,6550
6928,5887,6717,6900,6928
6486,5348,6204,6345,6486
6814,5751,6562,6719,6814
6978,5672,6550,6760,6978
6653,5447,6288,6588,6653
6727,5368,6255,6727,6507
7169,6088,6942,7169,7164
6593,5695,6368,6358,6593
6511,5466,6246,6364,6511
6810,5821,6647,6745,6810
6690,5456,6372,6637,6690
6612,5400,6015,6537,6612
7459,6233,7092,7423,7459
6701,5480,6540,6609,6701
6877,5431,6288,6877,6635
7417,5769,6594,7417,6654
6547,5344,6242,6525,6547
6920,5350,6228,6920,6560
6970,5900,6711,6913,6970
6540,5451,6236,6442,6540
6548,5334,6201,6520,6548
7501,5867,7501,6771,7159
6811,5453,6072,6611,6811
6579,5353,6579,6403,6517
7331,6172,7096,7306,7331
6513,5381,5988,6481,6513
6528,5306,6528,6420,6430
6928,5775,6593,6855,6928
7203,5648,6888,7203,6879
6630,5400,6259,6474,6630
6663,5503,6349,6455,6663
7096,5779,6624,7096,6953
6630,5376,6033,6630,6551
6415,5302,6146,6378,6415
7024,5844,6684,7012,7024
6867,5420,5985,6455,6867
6552,5345,6249,6552,6530
7038,5945,6497,6911,7038
6666,5399,6313,6551,6666
6505,5481,6181,6505,6400
6909,6024,6701,6818,6909
6538,5447,6275,6479,6538
6604,5372,6278,6559,6604
7006,5825,6719,6921,7006
6995,5719,6632,6995,6911
6731,5362,6241,6731,6590
7014,5846,7014,6822,6938
7018,5568,6513,6724,7018
6519,5347,6220,6486,6519
7124,6064,6860,7019,7124
6593,5326,6218,6593,6457
6585,5400,6216,6375,6585
7000,5910,6798,6878,7000
6542,5462,6289,6431,6542
6668,5545,6417,6500,6668
7206,6153,6925,7114,7206
6626,5425,6626,6452,6510
6574,5357,6214,6513,6574
7248,5847,6747,7248,6954
6560,5390,6286,6531,6560
6590,5351,6209,6523,6590
7169,5727,6669,6888,7169
6675,5419,6254,6675,6583
6837,5373,6577,6837,6547
7265,6233,6991,7129,7265
6537,5342,6240,6534,6537
6467,5256,6116,6401,6467
6875,5754,6584,6706,6875
6577,5445,6317,6490,6577
6576,5433,6275,6576,6546
6939,5832,6635,6831,6939
6898,5960,6651,6808,6898
6509,5442,6173,6446,6509
6996,5859,6725,6962,6996
6552,5442,6255,6384,6552
6767,5529,6430,6696,6767
