highest,rank0,rank1,rank2,rank3
70060,12200,68068,70060,23637
1729908,6607,1729908,4855,1728760
6842,6842,4954,5477,4167
6579,6579,5503,4518,3446
6542,6542,5753,3926,3561
6581,6581,4698,4667,3285
7948,6481,7948,4249,3439
6420,6420,4680,4408,3388
6272,6272,4600,4426,3231
6136,6136,4504,5005,3294
6167,6167,4574,4616,3130
6401,6401,4536,4181,3125
6474,6474,4694,4197,3113
6117,6117,4665,4224,3233
6177,6177,4525,4342,3175
6287,6287,4665,4518,3030
6219,6219,4614,4491,3152
6115,6115,5414,4251,3086
6251,6251,4702,4172,3065
6109,6109,4623,4157,3132
6134,6134,4520,4222,3063
6205,6205,4605,4747,3158
6169,6169,4458,4206,3219
6136,6136,4556,4620,3467
6382,6382,4570,4217,3448
6177,6177,4472,4214,3212
6106,6106,4603,4118,3039
6228,6228,4661,4487,3236
6484,6484,4450,4111,3145
6396,6396,4595,4506,3081
8517,8517,5035,4831,3074
6191,6191,4085,4993,3171
6231,6231,4515,4240,3001
6145,6145,4763,4587,3084
6141,6141,4666,4151,3520
6320,6320,4914,4202,2915
6182,6182,4585,4140,3062
6101,6101,4634,4220,3065
6233,6233,4678,4138,3023
6462,6462,4586,4505,3097
6234,6234,4600,4199,3017
6187,6187,4470,4570,3303
6144,6144,4605,4109,3093
6191,6191,4394,4331,3172
6138,6138,4550,4103,3020
6112,6112,4600,4525,3129
6199,6199,4557,4235,3172
6209,6209,4643,4137,2935
6255,6255,4403,4333,3130
6200,6200,4688,4098,3204
6529,6529,4328,4908,3214
6185,6185,4454,4320,3108
6496,6496,4665,4085,3090
6103,6103,4579,4072,3116
6607,6607,4528,4072,3131
6190,6190,4545,4160,3154
6161,6161,4932,4135,3102
6214,6214,4480,4390,3327
6152,6152,4465,4128,3199
6205,6205,4866,4253,3088
6180,6180,4542,4135,3082
6223,6223,4557,4908,3378
6316,6316,4525,4132,3143
6196,6196,4857,4473,3467
6148,6148,4615,4104,3099
6239,6239,4615,4585,3153
6557,6557,4361,4450,3438
6477,6477,4726,4478,3168
6186,6186,4782,4089,3023
6165,6165,4931,4134,3303
6523,6523,4533,4229,3111
