highest,rank0,rank1,rank2,rank3
3247641,1609503,1654449,3247641,17288
8278,8278,5183,5145,4764
6612,6612,5008,4804,3722
6558,6558,5031,4631,3802
6698,6698,4798,4469,3918
6605,6605,4759,4249,3229
6268,6268,4740,4483,3639
6237,6237,4630,4518,3392
6506,6506,4752,4394,3109
6356,6356,4414,4450,3199
6240,6240,4670,4596,3106
6214,6214,5030,4571,3388
6160,6160,4772,4427,3071
6216,6216,4688,4084,3177
6172,6172,4682,4104,3070
6319,6319,4618,4097,3044
6118,6118,4615,4843,3107
6151,6151,4946,4183,3200
6277,6277,4692,4866,3046
6217,6217,4586,4193,3231
6223,6223,4698,4098,3484
8280,7828,4741,8280,3062
6255,6255,4519,4511,3108
6191,6191,4632,4573,3441
6195,6195,4558,4645,3107
6249,6249,4704,4123,3127
6219,6219,4688,4187,3164
6204,6204,4536,4148,4593
6307,6156,2615,6307,4780
6275,6275,4565,4064,3079
6289,6289,4688,4646,3542
6249,6249,4660,4139,3023
6212,6212,4301,4356,3224
6202,6202,4793,4067,3067
6168,6168,4782,4108,3158
6299,6299,4711,4202,3126
6228,6228,4519,4678,3497
6310,6310,4694,4184,3154
6088,6088,4869,4152,3104
6189,6189,4534,4058,3295
6345,6345,4568,4076,3082
6451,6451,4773,4164,3362
6182,6182,4576,4556,3451
6185,6185,4445,4392,3198
6144,6144,4623,4123,3158
6174,6174,4649,4109,3079
6251,6251,4712,4143,3013
6663,6663,4622,4051,3180
6197,6197,4568,4497,3046
6178,6178,4698,4147,3154
6182,6182,4458,4123,3149
6179,6179,4588,4268,3158
9836,9836,4509,4406,3246
6209,6209,4941,4132,3519
6190,6190,5134,4135,3067
6134,6134,4570,4530,3474
6158,6158,4534,4180,3087
6243,6243,4595,4305,3141
6131,6131,4644,4513,3065
6222,6222,4924,4183,3116
6121,6121,4487,4160,3102
6256,6256,4705,4051,3136
7155,7155,4735,4172,3076
6156,6156,4524,4308,3307
6197,6197,4748,4604,3483
6569,6569,4595,4164,3151
6118,6118,4586,4068,3446
6206,6206,4586,4151,3140
6102,6102,4560,4202,3157
6872,6872,4702,4080,3734
6125,6125,4544,4830,3071
6128,6128,4602,4103,3108
6133,6133,4539,4229,3154
6302,6302,4736,4108,3032
6095,6095,4618,4172,3090
6168,6168,4588,4041,3113
6097,6097,5070,3998,3054
6153,6153,4542,4063,3407
6249,6249,4272,4988,3060
6188,6188,4682,4159,3388
6177,6177,4367,4403,3088
6224,6224,4698,4456,3171
6078,6078,4467,4297,3310
6231,6231,4361,4337,3204
6278,6278,4683,4467,3158
6096,6096,4694,4185,3116
6168,6168,4513,4386,3099
6177,6177,4745,3938,3111
6092,6092,4242,4370,3112
6297,6297,4683,4202,3081
6374,6374,4659,4520,3056
6177,6177,4706,3991,3235
6081,6081,4571,4421,3036
6354,6354,4681,4481,3215
6452,6452,4636,4434,3086
6244,6244,4671,3982,3127
6085,6085,4493,4892,3027
6213,6213,4628,4457,3162
6192,6192,5077,4355,3085
6311,6311,4591,4039,3644
6129,6129,4838,4185,3074
6556,6556,4455,4770,3080
6130,6130,4586,4111,3082
6233,6233,4569,4078,3205
6106,6106,4317,4324,3069
6435,6435,4754,4109,2935
6104,6104,4540,4096,3525
6178,6178,4866,4084,3381
6120,6120,4488,4168,3500
6320,6320,5027,4105,3148
6062,6062,4876,4564,3037
6208,6208,4622,4175,3383
6233,6233,4795,4531,3019
6704,6704,4569,4068,3525
6281,6281,4612,4175,3077
6180,6180,4584,4441,3197
6209,6209,4478,4487,3157
6265,6265,4676,4131,3102
6186,6186,4696,4309,3072
6251,6251,4716,4380,3079
6181,6181,4523,4058,3093
6237,6237,4711,4266,3303
6182,6182,4592,4529,3064
6277,6277,4681,4099,3239
6337,6337,4541,4114,3086
6301,6301,4550,4294,3158
6128,6128,4643,4135,3129
6367,6367,4656,4252,3308
6159,6159,4617,4112,3083
6228,6228,4663,4167,3148
6191,6191,4543,4134,3059
6287,6287,4564,4124,3200
6115,6115,4543,4562,3139
6295,6295,4615,4075,3162
6113,6113,4612,4124,3455
6375,6375,4719,4236,3154
6300,6300,4557,4120,3090
6288,6288,4665,4442,3055
6495,6495,4709,4525,3172
6177,6177,4541,4461,3635
6320,6320,4623,4044,3191
6201,6201,4551,4459,3469
6112,6112,4599,4292,3080
6219,6219,4719,4654,3052
6076,6076,4834,4541,3097
6163,6163,4924,4304,3088
6189,6189,4536,4412,3082
6248,6248,4617,5976,3195
6147,6147,4561,4227,3674
6368,6368,4777,4061,3106
6194,6194,4548,4622,3082
6443,6443,4550,4528,3176
6153,6153,4528,4693,3051
6227,6227,4816,4187,3052
6038,6038,5514,4046,3101
6129,6129,4579,4088,3188
6089,6089,4551,4223,3060
6175,6175,4567,4098,3424
6089,6089,4696,4643,3072
6149,6149,4630,4245,3079
6403,6403,4744,4002,3077
6450,6450,4705,4190,3059
6256,6256,4543,4294,3205
6157,6157,4490,4103,3323
6534,6534,4581,4833,3589
6247,6247,4734,4547,3217
6118,6118,4598,4328,3051
6363,6363,4798,4147,3193
6095,6095,4813,4103,3383
6191,6191,4687,4092,3083
6375,6375,4653,4530,3017
6153,6153,4546,4114,3289
6134,6134,4515,4172,3195
6197,6197,4589,4099,3145
6055,6055,4696,4281,3041
6148,6148,4610,4069,3069
6104,6104,4529,4505,3240
6543,6543,5098,4113,3056
6126,6126,4465,4191,3123
6514,6514,4963,4404,3702
6204,6204,4529,4236,3126
6274,6274,4655,4083,3487
6102,6102,4872,4086,3037
6201,6201,4706,4366,3086
6133,6133,4701,3996,3002
6542,6542,4882,4204,3095
6561,6561,4820,4720,3081
6261,6261,4548,4373,3056
6093,6093,4747,4440,3097
6228,6228,4531,4077,3134
6138,6138,4688,4526,3456
6216,6216,4633,4221,3091
6064,6064,4512,4674,3276
6362,6362,4691,4076,3088
6149,6149,4523,4078,3456
6295,6295,4861,4029,3180
6218,6218,4543,4144,3143
6153,6153,4666,4177,3083
6197,6197,4534,4784,3130
6219,6219,4745,4162,3075
6205,6205,4745,4478,3097
6394,6394,4706,4129,3257
6141,6141,4551,4192,3446
6215,6215,4592,4218,3260
6116,6116,4566,4176,3094
6873,6873,4679,4038,3018
6126,6126,4939,4590,3111
6247,6247,4612,4088,3365
6083,6083,4529,4151,3077
6659,6659,5105,4007,3137
6112,6112,4569,4065,3045
6181,6181,4947,4154,3342
6242,6242,4731,4643,3073
6237,6237,4661,4302,3093
6144,6144,4710,4102,3063
6283,6283,4921,4057,3281
6232,6232,4569,4380,3117
6181,6181,4609,4152,3043
6281,6281,4760,4613,3089
6288,6288,4746,4053,3247
6189,6189,4546,4470,3106
6391,6391,4628,4052,3142
6080,6080,4855,4155,3270
6297,6297,4602,4053,3246
6115,6115,4671,4948,3182
6273,6273,4543,4261,3101
6485,6485,4617,4113,3074
6120,6120,4587,4042,3199
6382,6382,4510,4472,3125
6525,6525,4601,4534,3107
6122,6122,4754,4341,3428
6144,6144,4682,4052,3116
6455,6119,6455,4347,4281
6320,6320,4600,4556,3066
6115,6115,4542,4322,3235
6180,6180,4618,4052,3156
6228,6228,4571,4122,3041
6172,6172,4633,4068,3402
6109,6109,4879,4689,3051
6374,6374,4635,4182,3065
6204,6204,4660,4412,3377
6405,6405,4622,4048,3160
6280,6280,4534,4172,3079
6554,6554,4763,4077,3165
6122,6122,4874,4591,3093
6245,6245,4676,4005,3123
6259,6259,4513,4404,3285
6118,6118,4726,4442,3364
6393,6393,4648,4094,3035
6381,6381,5019,4256,3047
6171,6171,4539,4488,3167
6195,6195,4579,4108,3120
6238,6238,4901,4283,3397
6311,6311,4576,4096,3488
6084,6084,4963,4157,3308
6528,6528,4755,4561,3102
6287,6287,4594,4302,3132
6249,6249,4682,4071,3175
6104,6104,4508,4094,3117
6238,6238,4658,4089,3245
6196,6196,4580,4891,3278
6163,6163,4686,4197,3196
6124,6124,4557,4116,3179
6168,6168,4571,4340,3124
6188,6188,4331,4405,3051
6287,6287,4689,4144,3119
6200,6200,4623,4526,3121
6218,6218,4328,4332,3122
6163,6163,4577,4027,3116
6159,6159,4798,4233,3177
6102,6102,4678,4351,3046
6157,6157,4566,4213,3214
6101,6101,4571,4513,3068
6287,6287,4618,4094,3093
8314,8314,4354,4403,3150
6201,6201,4566,4078,3958
6317,6317,4335,4762,3035
6166,6166,4467,4320,3074
6083,6083,4646,4561,3041
6280,6280,4622,4442,3283
6214,6214,4525,4637,3443
6279,6279,4637,4534,3019
6120,6120,4512,4085,3094
6156,6156,4696,4087,3180
6185,6185,4358,4389,3173
6242,6242,4600,4013,3157
6111,6111,4403,4854,3066
6555,6555,4611,4037,3061
6125,6125,4525,4111,3393
6382,6382,4567,4025,3129
6073,6073,4676,4083,2991
6222,6222,4568,4237,3167
6161,6161,4612,4565,3154
6199,6199,4543,4079,3126
6289,6289,4688,4231,3025
6248,6248,4955,4452,3167
6118,6118,5078,4142,3078
6184,6184,4617,4572,3068
6230,6230,4577,4520,3032
6212,6212,4699,4068,3222
6375,6375,4586,4111,3039
6574,6574,4566,4070,3129
6156,6156,4667,4355,3025
6500,6500,4567,4052,3523
6364,6364,4551,4528,3127
6291,6291,4671,4083,3559
6953,6953,4562,4155,3251
6293,6293,4772,4080,3155
6172,6172,4559,4472,3144
6189,6189,4686,4088,3166
6098,6098,4463,4147,3287
6118,6118,4659,4088,3088
6187,6187,4545,4238,3086
6308,6308,4643,4320,3159
6554,6554,4585,4704,3155
6139,6139,4544,4236,3103
6125,6125,4574,4236,3109
6140,6140,4696,4200,3352
6103,6103,4699,4162,3485
6205,6205,4645,4163,3113
6237,6237,4679,4556,3289
6267,6267,4592,4218,3121
6105,6105,4606,4244,3106
6210,6210,4678,4171,3275
6291,6291,4600,4061,3125
6446,6446,4622,4295,3183
6092,6092,4630,4462,3063
6205,6205,4615,4256,3116
6423,6423,4932,4552,3188
6311,6311,4614,4108,3050
6457,6457,4574,4157,3093
6156,6156,4671,4139,3625
6105,6105,4578,4106,3106
6436,6436,4682,4086,3133
6487,6487,4646,4608,3290
6162,6162,4591,4404,3228
6149,6149,4638,4243,3065
6271,6271,4594,3990,3144
6415,6415,4554,4111,3229
6156,6156,4622,4055,3117
6187,6187,5052,4788,3099
6453,6453,4712,4071,3485
6261,6261,4752,4065,3033
6296,6296,4572,4057,3122
6398,6398,4499,4104,3196
6243,6243,4875,4331,3025
6170,6170,4572,4586,3167
6105,6105,4557,4244,3167
6215,6215,4541,4401,3053
6205,6205,4562,4111,3203
6248,6248,4592,4297,3043
6884,6884,4676,4040,3096
6264,6264,4664,4515,3069
6298,6298,4801,4155,3084
6436,6436,4590,4135,3060
6182,6182,4582,4060,3481
6578,6578,4515,4146,3112
6802,6802,4506,4470,3076
6095,6095,4791,4294,3124
6271,6271,4880,4209,3210
6366,6366,4562,4085,3107
6639,6639,4516,4170,3050
6182,6182,4542,4082,3048
6163,6163,4951,4138,3072
6204,6204,5300,4137,3096
6377,6377,4607,4521,3170
6385,6385,4711,4597,3069
6413,6413,4617,4053,3096
6253,6253,4813,4150,3040
6423,6423,4646,4055,3142
6152,6152,4586,4066,3549
6199,6199,4543,4086,3220
6156,6156,4600,4526,3207
6168,6168,4716,4103,3111
6114,6114,4845,4475,3046
6200,6200,4627,4197,3322
6113,6113,4557,4460,3108
6276,6276,4642,4325,3004
6200,6200,4665,4546,3056
6438,6438,4696,4017,3123
6184,6184,4541,4309,3107
6207,6207,4553,4197,3139
6232,6232,4666,4133,3071
6290,6290,4616,4128,3202
6571,6571,4289,4403,3119
6581,6581,4633,4224,3213
6180,6180,4586,4159,3065
6168,6168,4432,4489,3244
6159,6159,4666,4658,3476
6242,6242,4692,4098,3099
6108,6108,4639,4083,3038
6182,6182,4457,4378,3149
6200,6200,4615,4151,3460
6258,6258,4571,4172,3007
6129,6129,4730,4457,3093
