highest,rank0,rank1,rank2,rank3
62347,7773,60588,62347,17909
5443,5443,4441,3550,2296
5102,5102,3668,3922,2187
5228,5228,4513,3647,2164
5020,5020,4340,3431,2500
5453,5453,3864,3871,2338
5008,5008,3840,3806,2049
5468,5468,3894,4046,1999
5101,5101,3985,3741,2143
5072,5072,3829,3328,2302
5118,5118,4001,3713,2079
5056,5056,3892,3369,2483
5013,5013,3841,4119,2053
5050,5050,3839,3677,2085
5131,5131,4036,3619,2225
5140,5140,3482,3323,1981
4898,4898,3772,3352,2044
5005,5005,3844,3660,2530
5008,5008,4027,4135,2035
4925,4925,3839,3400,2020
5054,5054,3862,3259,2378
5122,5122,3885,4436,2657
5045,5045,3497,3819,2113
5016,5016,3863,3651,2073
5426,5426,3922,4066,2555
5056,5056,4309,3605,2555
5025,5025,3816,3679,2192
5065,5065,3874,3696,1968
4995,4995,3474,3371,2364
5014,5014,3865,3606,2078
5089,5089,3531,4108,2240
6938,6938,3296,3599,1996
5044,5044,3865,3685,2001
5077,5077,3779,3849,2073
5575,5575,4209,3306,2029
5683,5683,3455,3338,1985
5668,5668,3296,4336,2060
5411,5411,3628,3977,2112
5409,5409,3541,3724,2066
5472,5472,3447,3322,2085
5630,5630,3450,3304,1981
5386,5386,3510,3664,2122
5555,5555,3450,4111,2053
5683,5683,3752,3782,2148
5468,5468,3534,3612,2467
5075,5075,3978,3591,2116
5138,5138,3438,3736,2384
5421,5421,3545,3323,2191
5286,5286,3438,3685,1988
5431,5431,3441,3317,1956
5269,5269,3941,3865,2114
5428,5428,3202,3729,2118
5340,5340,3523,3557,2122
5497,5497,3506,3351,2001
5375,5375,3452,3755,2021
5365,5365,3426,3671,2187
5449,5449,3585,4262,2246
5087,5087,3462,3700,2338
5411,5411,3465,3290,2025
5589,5589,3688,3265,2074
5375,5375,3351,3748,2124
5410,5410,3424,3266,1990
5443,5443,3301,3904,2061
5121,5121,3617,4033,1972
5674,5674,4010,3431,2533
5344,5344,4018,3761,2582
5059,5059,3851,3285,2038
5238,5238,3622,3694,2720
4989,4989,3950,3716,2532
5394,5394,3487,3342,2383
4972,4972,3965,3347,2480
5176,5176,3930,4011,2435
5028,5028,3499,3341,2416
4988,4988,3432,3260,2081
4990,4990,4935,2524,3024
5048,5048,3555,3246,2387
4974,4974,3434,3485,2426
5031,5031,3474,3396,2419
5035,5035,3479,3343,2392
5155,5155,3866,3224,2234
4977,4977,3826,3355,2360
5173,5173,3873,3220,2081
4997,4997,3846,3761,2067
5063,5063,4171,3055,2686
5283,5283,3692,3947,2243
5010,5010,4106,3693,2475
4977,4977,3577,4158,2397
5052,5052,3338,3692,2370
5066,5066,3961,3694,2160
4972,4972,3782,3841,2125
5018,5018,3827,4636,2275
4983,4983,3424,3668,2298
5049,5049,3640,3620,2083
5174,5174,4212,3640,2124
5084,5084,3516,3365,2029
5045,5045,4329,4074,2319
4989,4989,3927,3965,2144
5457,5457,3474,4233,2165
5444,5444,3421,4118,2531
6487,6487,3950,3726,1938
5411,5411,3645,3702,1949
5482,5482,3486,4050,2269
5011,5011,3467,3664,2223
5034,5034,3703,3655,2027
5139,5139,3493,4016,2007
5422,5422,3446,3994,2222
5699,5699,3519,3443,2014
5389,5389,3646,3702,2076
5326,5326,4084,3579,2444
5452,5452,3492,3354,1915
5750,5750,3520,3660,2085
5415,5415,3458,3608,1878
5516,5516,3414,3324,2021
5396,5396,3495,3598,2456
5406,5406,3494,3661,2035
5100,5100,3535,3744,1940
5464,5464,3543,3769,2056
5428,5428,3440,3364,2056
5364,5364,3454,3685,2142
5535,5535,3481,4060,2213
5345,5345,3454,3407,2028
5457,5457,3450,3316,2097
5679,5679,3588,4043,1950
5917,5917,3471,3674,2252
5004,5004,3491,3753,2537
5449,5449,3443,3652,2270
5062,5062,3428,3843,2208
5615,5615,3472,4151,2911
5613,5613,3562,3500,1509
5099,5099,3514,4109,1930
5043,5043,4648,3989,2507
5066,5066,3399,3341,2638
5092,5092,3629,3356,1878
5042,5042,3804,3341,1960
4989,4989,3374,3686,2020
4991,4991,3391,3624,2059
5517,5517,3413,4089,2037
5381,5381,3455,3274,2197
4955,4955,3509,3352,1994
5056,5056,3464,3271,1943
4988,4988,3458,3389,2006
5383,5383,3350,3282,2145
5058,5058,3444,3676,2000
5086,5086,3473,3254,2037
5019,5019,3418,3322,2725
5097,5097,3473,3233,2072
5052,5052,3356,3563,2417
5044,5044,3480,3308,2049
5218,5218,3568,3708,1997
5059,5059,3287,4230,2187
4996,4996,3601,3877,2108
5050,5050,3321,3472,2142
5075,5075,3507,3729,1996
5065,5065,3490,3251,2036
4936,4936,3601,3286,2030
5002,5002,4019,3249,1916
5183,5183,3572,3233,2751
5083,5083,3563,3685,2323
5085,5085,3477,3720,2016
5390,5390,3743,3254,1928
5043,5043,3561,3302,1974
5529,5529,3584,3454,2020
5671,5671,3448,3362,2096
5009,5009,3572,4216,1937
5037,5037,3875,3795,2000
5372,5372,3455,3377,2103
5451,5451,3629,3306,1990
5028,5028,3492,3209,1993
5589,5589,3505,3378,2096
5395,5395,3367,3684,2089
5530,5530,3441,4232,2002
5145,5145,3424,3693,2125
5213,5213,3530,4337,2005
5449,5449,3567,3659,2028
5491,5491,3460,3341,2166
5399,5399,3530,3602,1923
5353,5353,3451,3731,2171
5479,5479,3493,3934,2026
5758,5758,3496,4092,2051
6836,6476,3884,6836,2004
5396,5396,3624,3341,2052
5358,5358,3607,3556,2014
5350,5350,3656,3642,1960
5332,5332,3372,3891,2356
5521,5521,3518,3710,1890
5021,5021,3442,3275,2126
5344,5344,3470,3701,2081
6526,5403,6526,3694,2184
5767,5767,3440,3404,2056
5575,5575,3440,3626,2118
5432,5432,3515,3828,2030
5402,5402,3607,3707,1980
5142,5142,4089,3359,2211
5098,5098,3858,3301,2026
5359,5359,4513,3379,2578
4997,4997,3881,3309,2293
5021,5021,4307,3685,2170
5293,5293,3862,3315,2039
5211,5211,3785,3333,1965
5082,5082,3827,3802,2227
5040,5040,3443,3418,2029
5259,5259,3395,3597,2014
5044,5044,3806,4097,2211
5000,5000,3815,3254,2154
5036,5036,3985,3359,2103
5019,5019,4382,3639,2386
5094,5094,3909,3350,2024
5016,5016,3816,3313,1984
4948,4948,4001,3337,2234
5126,5126,3839,3696,2061
4946,4946,4190,3351,2419
5028,5028,4247,3327,2087
5208,5208,4244,3734,2195
5007,5007,4416,3710,2094
5124,5124,4480,3243,2413
5006,5006,4595,3861,2477
5094,5094,4366,3673,2331
5001,5001,3403,3671,2144
4988,4988,4136,3652,2056
4974,4974,3821,3675,2047
5056,5056,3848,3656,1984
5044,5044,4321,3832,2237
5048,5048,4602,3499,2402
5205,5205,3537,3644,2110
5214,5214,3865,4178,2051
