highest,rank0,rank1,rank2,rank3
44238653,43592225,44238653,43575240,43396006
42431093,42431093,42349034,42384675,41877210
37279921,37279921,35861589,36936097,35214949
35924556,35924556,35898024,35525791,35273832
36166856,36117348,36166856,35666020,35507078
35964147,35910416,35964147,35502762,35372746
36033269,35940218,36033269,35469236,35386529
35927973,35910425,35927973,35441990,35311814
35972087,35898727,35972087,35452735,35318452
35963733,35905384,35963733,35462262,35329988
35979085,35885017,35979085,35466098,35352527
36076466,36028404,36076466,35591792,35474634
35921672,35869632,35921672,35464949,35305285
35947870,35908333,35947870,35428944,35312593
35884193,35801178,35884193,35390831,35214612
35923776,35923776,35881113,35470200,35258911
35959462,35913569,35959462,35480136,35293526
35938579,35865098,35938579,35515374,35304468
35926509,35890066,35926509,35442694,35261690
35868130,35835721,35868130,35429668,35255674
35911018,35861903,35911018,35428817,35255654
35973816,35930620,35973816,35502426,35325657
35957508,35885064,35957508,35447010,35329382
35938664,35914062,35938664,35465888,35307251
35921183,35875748,35921183,35433990,35281399
35939888,35884257,35939888,35431464,35316469
35929133,35843308,35929133,35405162,35292967
35963312,35932717,35963312,35466146,35352296
35993163,35915273,35993163,35418449,35322089
35947347,35867825,35947347,35468343,35333398
35990844,35834998,35990844,35389859,35301022
35924586,35924586,35913410,35445838,35273458
36003594,35955535,36003594,35494007,35342851
35948875,35915621,35948875,35483616,35326033
36858845,35815101,35944856,35403105,36858845
35956147,35911868,35956147,35444039,35306644
35943583,35852459,35943583,35411899,35276099
35963738,35926233,35963738,35492569,35319252
35903738,35812630,35903738,35380799,35258145
35895325,35895325,35880401,35435399,35232620
35960072,35869763,35960072,35474327,35298746
35948067,35850255,35948067,35423672,35299727
35998489,35902866,35998489,35427982,35322086
35900642,35851671,35900642,35434277,35237243
35883212,35866206,35883212,35376385,35298515
35911888,35877729,35911888,35426394,35255626
35960122,35886610,35960122,35433232,35297517
36135526,36135526,36112074,35644797,35497411
35964451,35849154,35964451,35375769,35284627
35934549,35868891,35934549,35396309,35251200
35899831,35828662,35899831,35393706,35275813
35919752,35917364,35919752,35431355,35285035
35921242,35909143,35921242,35457713,35299216
35934460,35862306,35934460,35441730,35292125
36075093,36021740,36075093,35587429,35447677
35879209,35879209,35870630,35406933,35208899
35888603,35870582,35888603,35430423,35285290
36966524,36966524,35969578,35511200,35328067
36004044,35948689,36004044,35465222,35372296
35922506,35919700,35922506,35507196,35299941
35941475,35828464,35941475,35440885,35285630
35953849,35896016,35953849,35517387,35338997
35907336,35844607,35907336,35411845,35266790
35979210,35979210,35972648,35559296,35350236
35962089,35851062,35962089,35449608,35319029
36024107,35941255,36024107,35539357,35335021
35935193,35854044,35935193,35488999,35316018
35958270,35887878,35958270,35433480,35304905
35925586,35872698,35925586,35465948,35295260
35958427,35864367,35958427,35507541,35316114
36066701,35964048,36066701,35546346,35415312
35884371,35844077,35884371,35421353,35282127
35919944,35870727,35919944,35407010,35278809
35977142,35977142,35958622,35609978,35343287
36077584,35964492,36077584,35593396,35473617
35982994,35949625,35982994,35557104,35369467
35891141,35839044,35891141,35387333,35304055
36013046,35965587,36013046,35556215,35405450
35873869,35830307,35873869,35402256,35254033
35940694,35940694,35871597,35458612,35275221
35891139,35891139,35881176,35444797,35273419
35963377,35963377,35948966,35546553,35331627
35908862,35877040,35908862,35480912,35301381
35874016,35874016,35845448,35449667,35220580
35982032,35898666,35982032,35502628,35336318
35864199,35807131,35864199,35459676,35251955
35868201,35868201,35831872,35413302,35236897
35894252,35829612,35894252,35439207,35255026
35919596,35833992,35919596,35432806,35324629
35981335,35888018,35981335,35517982,35352851
36673670,36659876,36673670,36280198,36049223
35964902,35882755,35964902,35486007,35347628
35878481,35810318,35878481,35394547,35259114
35947676,35843749,35947676,35486091,35298238
35923874,35829624,35923874,35442946,35305382
35890064,35874929,35890064,35439978,35278586
35955019,35842785,35955019,35469389,35299815
35899924,35839993,35899924,35485379,35248408
35921257,35811927,35921257,35429836,35285296
35885925,35838742,35885925,35457552,35251882
36046113,35976116,36046113,35566833,35411230
35967621,35862856,35967621,35484261,35313964
35974277,35882705,35974277,35507423,35349505
35884060,35843025,35884060,35425264,35260666
35922021,35875928,35922021,35423050,35297263
35844428,35774664,35844428,35385560,35229972
35901377,35872302,35901377,35432430,35304204
35922926,35871468,35922926,35436897,35272701
35946998,35826318,35946998,35423671,35304289
35930774,35887666,35930774,35506756,35287927
35919968,35825835,35919968,35449614,35281922
35943052,35884763,35943052,35457969,35310838
35893738,35840212,35893738,35389867,35281508
35928744,35890763,35928744,35488068,35274751
35963720,35826300,35963720,35411091,35321869
35871388,35871388,35850890,35477526,35284270
35833851,35748846,35833851,35352064,35250333
35897532,35869576,35897532,35492869,35281313
35914308,35877465,35914308,35471804,35310240
35969105,35908693,35969105,35483858,35302699
35930184,35848731,35930184,35405380,35249148
35966048,35838813,35966048,35480334,35255510
35929021,35796242,35929021,35439112,35234235
35909093,35821836,35909093,35458799,35197434
35890105,35800624,35890105,35434414,35224733
35900198,35787742,35900198,35430530,35173315
35910268,35812875,35910268,35422475,35180903
35899311,35854422,35899311,35412949,35213136
35936372,35871892,35936372,35431231,35274046
35908641,35827396,35908641,35475809,35240224
36015502,35961140,36015502,35568654,35318827
36017193,35914674,36017193,35529925,35300718
35905810,35843745,35905810,35408824,35232276
35957998,35869939,35957998,35446352,35243438
35947112,35839419,35947112,35442370,35250218
35875102,35875102,35867501,35429611,35171669
35952138,35895432,35952138,35471347,35275893
35941133,35880223,35941133,35457650,35249904
35922412,35865596,35922412,35445408,35198760
35944555,35813751,35944555,35414837,35220012
35921352,35780211,35921352,35360211,35198422
35886589,35819484,35886589,35480847,35189035
35838057,35806362,35838057,35388830,35178517
35854567,35837298,35854567,35448757,35147789
35962875,35886179,35962875,35455122,35240137
36606646,36606646,36513981,36197328,35849886
35887578,35887578,35887256,35465226,35196198
35866350,35866350,35840009,35441368,35158832
35901780,35823229,35901780,35422659,35201320
35849681,35849681,35835861,35469792,35163732
36045622,36010711,36045622,35569648,35350568
35884174,35884174,35851941,35458399,35151360
35896476,35896476,35846981,35491195,35177988
35837340,35837340,35828342,35416342,35131685
35881832,35841759,35881832,35473842,35170368
35902188,35902188,35899458,35473608,35174200
35831517,35790866,35831517,35387929,35150395
35928144,35905974,35928144,35541840,35206846
35896980,35872935,35896980,35463576,35196295
35851846,35851846,35844906,35459348,35150797
35941530,35909002,35941530,35484132,35245696
35880188,35845593,35880188,35463499,35215761
35906533,35827385,35906533,35479249,35219587
35956280,35928147,35956280,35512666,35261135
35812882,35790337,35812882,35378520,35123662
35897266,35828170,35897266,35457426,35178468
35904610,35878192,35904610,35446365,35193527
35862800,35862800,35855434,35421134,35147293
35922854,35859494,35922854,35458114,35244785
35918066,35863913,35918066,35491108,35200638
35973884,35973884,35960721,35571252,35304248
35985874,35887423,35985874,35496604,35297193
35883010,35829761,35883010,35445712,35191118
35907589,35889573,35907589,35500993,35214708
35870870,35818553,35870870,35421825,35191831
35877035,35877035,35866623,35443724,35192816
35901243,35901243,35883734,35479311,35223595
35849836,35845947,35849836,35451990,35178856
35933918,35911664,35933918,35466465,35216297
35979766,35975448,35979766,35523341,35287495
35881029,35827067,35881029,35460601,35193492
35907616,35907616,35888421,35486076,35212390
35864844,35815275,35864844,35387885,35174753
35833193,35833193,35831111,35456546,35129199
35878322,35878322,35863927,35459950,35168050
35850724,35843131,35850724,35451430,35177559
35862347,35862347,35832175,35436669,35195254
35926959,35926959,35868907,35518734,35199329
35902758,35880147,35902758,35475170,35277962
35868851,35868851,35857498,35468382,35177005
35870833,35812761,35870833,35437879,35204350
35909314,35909314,35882532,35497192,35199643
35869303,35813622,35869303,35404408,35162887
35933576,35854338,35933576,35504868,35251898
35880283,35863218,35880283,35475393,35199469
35986022,35962243,35986022,35577831,35281563
35891190,35891190,35861241,35445774,35186143
35866705,35824510,35866705,35467412,35192343
35899081,35868325,35899081,35459379,35215660
35835189,35835189,35810674,35437446,35114639
