highest,rank0,rank1,rank2,rank3
17380189,15780180,17380189,15712948,15714845
8250472,8250472,8245074,8238953,8236847
8037809,8016081,8008875,8037809,8036028
8082128,8082128,8081619,8078999,8080124
8084511,8068827,8021001,8081760,8084511
8072156,8072156,8069138,8040151,8039715
8070171,8028024,8020570,8064893,8070171
8079828,8079828,8074971,8045652,8049735
8102999,8071805,8063897,8100637,8102999
8089658,8084877,8071397,8089658,8082744
8043043,8027501,7995360,8040061,8043043
8084549,8084549,8079773,8049151,8050486
8076180,8052567,8020366,8071487,8076180
8110293,8110293,8107907,8065834,8070988
8046974,8010916,8009299,8046974,8043709
8126396,8126396,8122391,8096724,8107666
8114817,8113549,8102343,8108694,8114817
8100622,8100622,8100121,8075031,8084341
8094265,8070420,8064104,8093549,8094265
8113327,8113327,8103309,8038270,8077239
8064363,8038280,8014671,8055790,8064363
8094962,8092251,8094962,8069034,8070202
8109267,8086617,8080470,8109267,8107376
8095848,8095848,8090877,8028028,8066772
8096262,8044382,8034210,8096262,8094808
8077647,8077647,8072293,8068825,8069714
8053064,8031420,7998005,8049859,8053064
8083491,8083491,8068878,8032083,8054392
8057530,8031052,8015606,8057530,8056835
8063433,8063433,8056826,8038615,8042496
8060786,8024155,8009300,8059683,8060786
8107638,8107638,8106484,8073796,8076686
8075310,8061635,8031913,8075310,8074623
8118394,8118394,8114838,8085750,8086424
8045421,8017147,8007333,8045421,8043074
8114349,8114349,8110288,8062454,8095558
8101880,8078277,8066946,8101566,8101880
8067927,8067927,8061621,8048010,8051332
8104459,8104459,8102566,8080270,8087538
8094103,8094103,8091045,8075470,8078823
8068504,8037489,8025755,8068504,8066333
8119312,8119312,8112106,8098015,8096292
8071610,8049968,8026655,8071610,8068524
8151848,8151848,8146609,8059806,8059945
8051640,8051640,8044175,8047087,8040930
8090389,8090389,8082294,8077047,8080523
8089262,8089262,8083867,8060965,8062403
8094731,8094731,8092495,8063374,8062422
8102262,8087887,8061443,8092795,8102262
8097350,8097350,8094484,8077732,8077647
8070351,8070351,8063496,8062723,8062159
8099708,8099708,8090451,8037469,8042637
8091147,8042580,8029141,8091147,8087968
8096215,8096215,8086707,8052012,8046495
8093850,8093850,8087307,8076576,8071568
8098406,8098406,8088533,8058923,8056963
8064416,8044629,8032064,8060414,8064416
8098898,8098898,8090644,8074690,8079315
8101075,8085970,8075096,8098037,8101075
8068398,8068398,8061172,8024299,8027997
8080256,8044630,8036870,8080256,8078069
8111643,8111643,8108658,8062749,8064571
8097948,8097948,8086513,8080362,8085555
8069513,8068269,8069513,8034840,8051907
8085060,8071389,8064937,8082613,8085060
8128830,8128830,8125987,8120780,8122934
8110075,8091741,8084862,8110075,8104726
8096769,8096769,8096308,8043332,8051397
8105283,8102407,8087952,8102160,8105283
8124583,8124583,8118697,8087920,8087257
8077979,8061679,8058395,8077979,8071192
8092236,8092236,8077936,8035870,8054549
8051880,8051880,8034477,8050922,8051012
8130135,8130135,8116547,8085892,8087175
8078706,8076536,8069491,8078706,8075966
8189539,8189539,8178600,8044745,8069595
8109417,8105479,8092196,8109417,8109080
8089389,8089389,8087033,8067102,8067747
8087509,8087509,8076295,8075325,8081165
8099340,8099340,8091842,8040757,8077483
8051593,8038549,8026902,8051593,8049003
8083879,8083879,8067979,8062581,8062428
8062676,8062676,8048380,8044603,8042377
8137563,8137563,8129336,8054713,8074970
8084125,8076450,8067577,8082650,8084125
8115976,8115976,8107575,8092175,8095379
8082946,8082047,8076908,8082946,8079760
8114992,8114992,8105892,8079004,8111264
8093601,8093601,8082533,8091026,8092244
8126995,8126995,8114186,8085255,8085471
8091905,8091905,8076798,8074435,8074739
8106009,8105774,8106009,8030804,8033071
8081333,8075728,8071955,8079539,8081333
8134543,8134543,8129138,8077578,8076432
8083606,8075127,8068068,8083606,8081548
8086918,8086918,8079553,8047649,8066357
8060939,8060939,8048111,8052613,8058108
8119348,8119348,8115360,8096733,8109082
8087979,8079414,8067255,8080460,8087979
8081433,8077641,8081433,8069715,8078308
8107393,8106563,8096060,8101837,8107393
8092333,8092333,8081828,8053623,8058159
8132393,8115478,8106928,8126525,8132393
8088085,8088085,8080207,8042181,8072938
8094467,8094467,8085875,8061074,8064199
8115425,8115425,8103719,8078934,8082115
8111882,8111882,8099418,8093293,8101354
8118238,8118238,8110343,8078203,8084057
8101283,8070231,8061507,8097114,8101283
8117389,8117389,8109773,8070648,8069315
8058727,8058727,8058043,8055094,8053434
8126986,8126986,8114257,8055315,8059908
8122774,8122774,8108481,8120601,8122678
8102323,8102323,8099244,8065793,8061501
8134012,8134012,8122035,8126420,8126407
8121442,8121442,8120522,8062695,8107907
8083711,8060074,8049038,8082290,8083711
8120814,8120814,8117735,8063609,8068526
8082641,8082641,8074216,8074475,8073698
8093242,8093242,8085699,8032084,8059965
8089130,8068811,8057929,8086389,8089130
8127114,8127114,8124126,8072909,8066664
8080694,8080694,8072305,8071660,8073875
8140115,8140115,8137080,8075451,8093718
8115724,8096376,8088344,8106002,8115724
8112918,8112918,8108210,8063678,8066934
8129765,8129765,8118935,8115271,8118486
8131272,8131272,8126121,8056427,8055221
8075726,8056466,8048963,8071159,8075726
8101483,8101483,8097872,8089298,8083540
8052726,8030866,8022361,8050660,8052726
8111586,8111586,8108838,8052734,8068272
8115316,8072598,8064499,8111589,8115316
8109233,8109233,8100122,8088812,8096451
8088380,8078958,8063546,8081935,8088380
8131236,8131236,8122009,8085619,8089092
8103197,8101594,8088477,8100383,8103197
8122689,8122689,8112163,8070425,8071083
8067462,8052664,8041888,8065664,8067462
8119098,8119098,8111133,8072998,8088461
8077398,8063764,8038477,8069598,8077398
8102982,8102982,8098188,8082903,8087942
8107882,8107882,8094950,8102359,8107000
8133414,8133414,8126756,8050885,8073970
8070825,8058349,8052179,8065369,8070825
8124893,8124893,8112591,8067751,8071579
8070706,8066909,8058788,8065192,8070706
8138261,8138261,8127682,8068127,8071845
8123045,8095228,8086375,8121139,8123045
8131520,8131520,8121621,8080316,8078699
8121664,8121664,8106940,8085968,8085985
8167465,8167465,8155606,8084992,8091496
8112885,8067871,8069111,8108795,8112885
8126982,8126982,8126721,8087331,8085761
8062151,8036575,8028055,8062151,8054873
8118854,8118854,8112633,8043634,8068522
8092156,8092156,8086656,8071115,8067708
8112449,8112449,8103229,8053304,8054115
8057663,8057663,8051398,8049939,8055154
8153343,8153343,8142835,8075105,8084941
8079842,8033434,8031330,8062463,8079842
8112146,8112146,8111687,8072029,8070952
8092547,8092547,8074224,8089990,8087170
8154898,8147000,8154898,8074181,8075304
8097603,8097603,8090229,8088320,8082812
8137421,8137421,8133217,8093632,8091027
8062314,8044362,8032302,8052932,8062314
8103473,8103473,8098242,8042360,8051303
8177247,8177247,8172370,8159808,8165054
8151934,8151934,8143035,8133873,8138089
8104749,8091873,8080367,8099254,8104749
8108736,8108736,8106080,8059442,8067018
8074254,8071224,8062813,8070434,8074254
8153098,8153098,8148846,8073527,8071091
8097809,8066909,8048569,8092909,8097809
8093393,8093393,8085026,8041257,8067033
8140884,8114080,8107874,8133113,8140884
8112436,8112436,8106790,8072252,8077182
8102213,8102213,8093666,8084573,8088825
8107899,8107899,8104338,8072226,8073733
8075355,8066453,8064394,8075355,8073111
8125091,8125091,8113661,8092369,8095340
8086269,8086269,8074095,8073065,8071409
8112364,8112364,8104477,8072363,8079447
8111406,8111406,8099394,8108360,8110330
8113730,8113730,8099470,8092642,8095681
8141246,8141246,8134528,8109243,8115214
8148394,8148394,8125520,8074240,8082475
8073255,8037950,8023392,8069421,8073255
8113217,8113217,8107336,8110794,8110091
8093633,8080638,8068339,8088695,8093633
8107879,8107879,8100495,8043465,8079106
8103462,8096406,8090732,8097296,8103462
8121908,8121908,8113186,8105766,8106951
8088851,8088279,8082259,8079172,8088851
8167119,8167119,8156272,8094131,8098522
8108081,8063808,8052355,8104561,8108081
8123066,8123066,8118709,8069461,8073462
8122001,8118819,8108111,8122001,8120606
8126402,8126402,8123583,8072437,8090606
