highest,rank0,rank1,rank2,rank3
4096874,4040622,4096568,4096874,4046156
12539,12539,9819,9303,10757
10513,10513,10373,8589,9430
10931,10931,9779,8116,8455
10902,10864,10902,8072,8390
10445,10445,10025,8323,9223
10476,10476,9956,8112,8573
10704,10669,10704,8049,8893
10825,10605,10825,7815,8774
10691,10689,10691,7942,8860
11118,11118,10265,8058,8578
10879,10879,10828,7748,8743
10856,10856,9587,7932,8886
10506,10506,10262,8408,8657
10660,10615,10660,8188,8439
12411,12411,10419,7603,8480
10847,10847,9611,7807,8779
10584,10584,9544,7967,8994
10959,10959,9949,7716,8814
10681,10681,9753,8119,8568
10920,10920,10109,7578,8358
11234,11234,9563,7860,8799
11012,11012,9906,7683,8571
10411,10411,9944,7870,8862
11788,11788,10395,8133,8743
10523,10523,9892,7688,8858
10791,10791,10224,7692,8501
10579,10579,9635,7976,8890
10447,10447,9577,7595,8489
10510,10510,9869,7754,8618
10456,10456,9628,8079,8706
10521,10521,9727,7711,8504
10480,10480,9621,7842,8565
10943,10943,9886,7583,8603
10496,10496,9513,7738,8840
10518,10518,9972,7608,8399
10524,10524,10083,7755,8735
11335,11335,9813,7732,8341
10482,10482,9986,8239,8702
10786,10786,9928,7673,8837
10612,10612,9697,7666,8493
11260,11260,9557,7556,8433
11508,11508,9508,7880,8671
10622,10622,9620,7701,8579
10455,10455,9490,7701,8530
10659,10659,9997,7776,8593
10978,10978,10310,7604,8476
10534,10534,10369,7567,8395
10412,10412,10243,7751,8450
11673,11643,11673,7726,8739
10507,10507,10362,7643,8542
10524,10524,9584,7568,8469
10518,10518,9663,7748,8430
12817,10877,10762,11813,12817
10601,10601,10050,7717,8577
10538,10538,9641,7606,8470
11292,11292,9738,7614,8499
10404,10404,9918,8094,8430
11586,11586,9867,7664,8439
10915,10915,10042,7606,8430
10922,10922,9915,7621,8498
10967,10967,9837,7741,8610
11006,11006,9913,7743,8448
15560,15560,10167,10253,12504
10532,10532,10300,7707,8649
10758,10758,9896,7659,8753
11006,11006,9956,7589,8420
10439,10439,10313,7749,8547
11116,11099,11116,7655,8483
10480,10480,9974,7552,8397
10483,10483,9886,8105,9109
10447,10447,10409,7624,8422
10447,10447,10144,8099,8878
10513,10513,9605,7955,9048
11114,11114,9996,7731,8694
10966,10966,9621,7698,8526
10430,10430,9610,7805,8829
10605,10605,9473,7727,8873
10869,10869,9534,7555,8395
10524,10524,9552,7622,8494
10516,10516,9494,7581,8593
10737,10737,9558,7607,8502
10897,10897,9903,7710,8562
10463,10463,9528,7736,8509
