highest,rank0,rank1,rank2,rank3
68833,14737,68833,21064,13764
8656,8414,8656,6979,6101
6910,6910,6476,6374,6328
6638,6638,6571,5931,5820
6851,6710,6851,6346,5989
6807,6729,6807,5971,5984
6418,6387,6418,5978,5722
6776,6776,6532,6030,6281
6661,6661,6476,6416,5901
6653,6653,6485,5979,6164
6618,6618,6467,6045,6127
6896,6738,6896,6020,6227
6828,6769,6828,6011,6187
6862,6687,6862,6020,6139
6788,6675,6788,6416,6170
6650,6650,6477,5959,5805
6828,6757,6828,5958,6163
6659,6659,6575,6005,6265
6979,6897,6979,5978,5967
6681,6654,6681,6034,5696
6790,6609,6790,5990,5690
6532,6532,6513,6036,5734
6696,6696,6533,5991,6102
6756,6656,6756,6003,5763
6804,6804,6474,6115,6592
6467,6408,6446,6467,5764
6831,6808,6831,6013,6142
6608,6471,6608,6181,5759
6457,6447,6457,6351,5776
6440,6399,6440,5923,5762
8928,6408,8928,6446,6011
6936,6863,6936,6020,6147
6591,6591,6454,5993,5795
7128,7128,6631,6068,6602
6667,6667,6461,5988,6124
6528,6487,6528,5965,5690
6675,6495,6675,6385,5807
6879,6879,6509,6430,5799
6856,6856,6505,5978,6110
6714,6714,6413,5946,6093
6460,6373,6457,6460,5769
6716,6716,6645,6343,6135
6764,6764,6637,6042,5741
6687,6687,6556,6023,6165
6683,6683,6398,5996,6127
6508,6508,6453,6067,5716
6764,6764,6423,6058,6471
6460,6407,6413,6460,6138
6464,6409,6464,5996,5763
13106,7017,6661,12061,13106
7203,6921,7203,6028,6201
6666,6666,6640,6325,6104
7088,7088,6513,6012,6185
7325,7325,6444,6061,6946
6993,6993,6399,5944,6461
6409,6409,6408,6083,5714
6498,6464,6498,6075,5798
6507,6507,6466,6356,6129
6682,6682,6451,6477,5693
6513,6513,6499,6063,5780
6449,6428,6449,5966,6113
6754,6668,6445,6754,5663
6827,6784,6827,6049,6089
6979,6815,6979,5965,5805
6671,6671,6512,5973,6229
6965,6833,6965,5995,5865
6552,6552,6437,5964,5872
6622,6622,6484,6023,5784
6447,6391,6447,5962,5744
6675,6675,6474,6016,5772
6860,6739,6860,6030,5793
6457,6400,6457,6042,5718
6824,6673,6824,6459,6159
6428,6393,6428,6419,5705
6870,6729,6870,6115,5790
6868,6756,6868,6068,5822
6503,6473,6503,6033,5893
6919,6744,6919,6075,5790
6696,6696,6494,6071,5812
6423,6406,6423,5980,6095
6439,6418,6439,5943,5714
6586,6553,6586,6046,5840
6559,6559,6426,5954,5765
6697,6697,6473,5980,5732
7304,7304,7086,5984,5690
6555,6555,6487,5975,5702
6481,6442,6481,6155,5729
6640,6640,6526,5967,5677
6942,6745,6942,6079,5757
6420,6373,6420,5992,5757
6458,6389,6458,6015,5656
6754,6754,6668,6058,5737
8709,7194,7071,8709,7481
6497,6441,6497,6007,5773
6810,6810,6419,6053,5761
7182,7182,6845,5978,6888
6937,6937,6487,5977,6088
6710,6685,6574,6710,6206
7002,7002,6551,5970,6445
6698,6698,6529,6113,6144
6411,6370,6411,6163,5685
6762,6762,6616,6056,6103
6691,6584,6691,6380,5908
6474,6351,6382,6474,5695
6743,6743,6458,6551,6134
7014,6854,7014,6350,6057
6703,6703,6614,6330,6090
7163,7163,6628,6176,6495
6728,6728,6544,6012,6113
6646,6646,6407,6090,6060
6642,6642,6525,5983,6088
6635,6635,6505,6009,6092
6991,6991,6539,5982,6380
6744,6453,6744,6329,5788
6565,6487,6565,6028,5782
6985,6985,6504,6324,6446
6425,6392,6425,5996,5734
6429,6426,6429,5917,5725
6460,6416,6460,6001,5648
6400,6382,6400,5954,5683
6634,6634,6472,5995,6177
6429,6418,6429,5957,5731
8593,8593,6533,6361,6061
6549,6542,6549,6036,6201
6404,6385,6404,5919,5715
6436,6436,6427,5945,6122
6620,6620,6443,6015,6107
6642,6642,6488,6015,6147
6532,6411,6532,6382,5825
6621,6469,6621,6345,5982
6860,6860,6824,5937,5858
6953,6843,6953,5971,6141
6448,6393,6448,6373,6068
6867,6867,6857,6021,6564
6691,6691,6450,5991,6146
6794,6558,6794,6280,5730
6594,6594,6436,6085,6132
6457,6415,6457,6283,6104
6421,6394,6421,6343,5711
6778,6778,6471,6106,6500
6423,6379,6423,6012,5730
6832,6577,6832,5952,5725
6436,6382,6436,6378,5730
6422,6411,6422,5965,5723
7002,7002,6373,5929,6455
6581,6457,6581,5905,5767
7012,7012,6452,5980,6434
7104,7104,6536,6315,6818
6911,6911,6781,6002,6391
6868,6868,6426,6226,6574
6663,6663,6526,5994,6184
6544,6502,6544,5872,5731
6764,6764,6495,6022,6579
7052,7052,6477,5982,6378
6747,6667,6747,6091,6159
6548,6521,6548,6355,5957
6879,6738,6879,6347,6148
6441,6399,6441,6036,5714
6630,6630,6436,6020,6139
6637,6637,6415,5970,6079
6584,6584,6415,5973,6486
6672,6672,6660,6076,6206
7079,7079,6469,5891,6472
6680,6528,6680,6315,6092
6694,6565,6694,5948,6043
6497,6497,6473,5940,5699
6831,6685,6831,6364,5697
6429,6397,6429,6323,5702
6932,6737,6932,6438,5870
6882,6758,6882,5903,6186
6584,6502,6584,6508,5742
6931,6673,6931,6398,5812
6717,6717,6476,6012,6120
6577,6419,6577,6296,6053
6795,6607,6795,6056,6095
7063,7063,6351,5924,6429
6577,6577,6432,5966,6402
7045,7045,6963,6284,6219
6729,6729,6443,6388,6200
6502,6474,6502,5945,5746
6850,6548,6850,6343,5681
6738,6738,6571,6352,6588
6656,6656,6466,5975,6111
6572,6572,6429,5966,6063
6431,6392,6431,6055,6188
6663,6663,6402,5964,6118
7000,7000,6453,6394,6412
6516,6488,6516,6359,5803
6631,6631,6443,5959,6429
6613,6613,6519,5917,6124
6880,6846,6880,5990,6148
6832,6688,6832,6027,5759
6838,6687,6838,5946,5702
7176,6483,6684,5981,7176
6572,6572,6451,6020,5805
6548,6446,6548,5926,6066
6580,6580,6492,5966,5746
6467,6463,6467,5988,6118
6565,6565,6464,5967,5734
6771,6453,6771,6002,5723
6537,6537,6437,6479,5760
6526,6526,6420,5998,5753
6774,6467,6774,6401,5703
6555,6529,6555,6436,6221
6786,6656,6786,6009,5779
6811,6618,6811,6317,5812
6429,6379,6429,6011,5721
6556,6556,6546,6359,5738
7248,6732,7248,5958,6041
6687,6501,6687,6375,5753
6893,6621,6893,6348,5841
6870,6570,6870,5991,5727
6579,6579,6442,6330,5786
6804,6562,6804,5942,5743
6448,6448,6416,5907,6105
6859,6708,6859,5934,5746
6448,6371,6448,6021,5892
6460,6418,6460,6008,5740
6520,6520,6429,6021,6091
6653,6535,6653,6534,5788
6645,6458,6645,6026,5706
6808,6502,6808,5949,6067
6565,6528,6565,6402,5811
7333,7333,7234,6325,5727
6973,6826,6973,6097,5755
6966,6771,6966,6019,5860
6469,6415,6469,6018,5816
6646,6548,6646,6046,5744
6434,6396,6434,6024,5689
6441,6441,6439,5970,5759
6855,6725,6855,5979,5762
6579,6579,6405,6078,5745
6886,6691,6886,6097,5727
6504,6442,6504,5985,5713
6481,6444,6481,6045,5664
6534,6486,6534,5994,5798
6442,6396,6442,6020,5729
6484,6422,6484,6364,5749
6465,6414,6465,6027,5732
6396,6347,6396,6311,5667
6381,6359,6381,5960,5687
6913,6728,6913,5912,5764
6444,6429,6444,5941,5782
6619,6481,6619,5972,5775
6468,6401,6468,5980,5753
