timestamp,test_id,nnodes,collective_type,mpi_lib,mpi_lib_version,libswing_version,CUDA,MPI_Op,notes
2025_02_25___16_44_28,0,2,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Debug run with only allreduce
2025_02_25___16_55_27,0,4,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Debug run with all algorithms
2025_02_25___16_55_27,1,4,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Debug run with all algorithms
2025_02_25___16_55_27,2,4,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Debug run with all algorithms
2025_02_25___16_55_27,3,4,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Debug run with all algorithms
2025_02_27___14_35_55,0,16,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___14_35_55,1,16,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___14_35_55,2,16,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___14_35_55,3,16,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___21_32_46,0,32,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___21_32_46,1,32,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___21_32_46,2,32,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___21_37_05,0,128,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___21_32_46,3,32,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___21_37_05,1,128,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___21_34_02,0,64,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___21_37_05,2,128,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___21_37_05,3,128,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___21_34_02,1,64,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___21_34_02,2,64,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___21_34_02,3,64,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_28_18,0,256,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_30_08,0,16,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_28_18,1,256,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_28_18,2,256,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_28_18,3,256,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_30_08,1,16,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_30_34,0,256,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_33_01,0,128,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_30_08,2,16,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_36_03,0,128,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_30_34,1,256,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_36_17,0,128,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_30_34,2,256,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_30_08,3,16,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_30_34,3,256,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_33_01,1,128,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_36_03,1,128,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_32_31,0,256,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_36_17,1,128,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_33_01,2,128,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_36_03,2,128,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_36_17,2,128,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_33_01,3,128,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_36_03,3,128,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_32_31,1,256,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_27___22_34_31,0,256,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_27___22_32_31,2,256,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_08_17,0,128,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_08_17,1,128,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_08_17,2,128,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_08_17,3,128,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_07_45,0,256,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_42_51,0,64,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_07_45,1,256,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_07_45,2,256,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_42_51,1,64,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_42_51,2,64,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_07_45,3,256,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_42_51,3,64,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_42_02,0,256,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_42_02,1,256,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
2025_02_28___18_43_06,0,128,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,MPI_SUM,Default notes
2025_02_28___18_42_02,2,256,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,null,Default notes
