COLLECTIVE_TYPE,ALGO_NUMBER,ALGO_NAME
ALLREDUCE,0,DEFAULT_OMPI
ALLREDUCE,1,LINEAR_OMPI
ALLREDUCE,2,NON_OVERLAPPING_OMPI
ALLREDUCE,3,RECURSIVE_DOUBLING_OMPI
ALLREDUCE,4,RING_OMPI
ALLREDUCE,5,RING_SEGMENTED_OMPI
ALLREDUCE,6,RABENSEIFNER_OMPI
ALLREDUCE,7,ALLGATHER_REDUCE_OMPI
ALLREDUCE,8,SWING_LAT_OMPI
ALLREDUCE,9,SWING_BDW_MEMCPY_OMPI
ALLREDUCE,10,SWING_BDW_DT_1_OMPI
ALLREDUCE,11,SWING_BDW_DT_2_OMPI
ALLREDUCE,12,SWING_BDW_SEGMENTED_OMPI
ALLREDUCE,13,SWING_BDW_STATIC_OMPI
ALLREDUCE,101,RECURSIVE_DOUBLING_OVER
ALLREDUCE,102,RING_OVER
ALLREDUCE,103,RABENSEIFNER_OVER
ALLREDUCE,201,SWING_LAT_OVER
ALLREDUCE,202,SWING_BDW_STATIC_OVER
ALLGATHER,0,DEFAULT_OMPI
ALLGATHER,1,LINEAR_OMPI
ALLGATHER,2,K_BRUCK_OMPI
ALLGATHER,3,RECURSIVE_DOUBLING_OMPI
ALLGATHER,4,RING_OMPI
ALLGATHER,5,NEIGHBOR_OMPI
ALLGATHER,6,TWO_PROC_OMPI
ALLGATHER,101,K_BRUCK_OVER
ALLGATHER,102,RECURSIVE_DOUBLING_OVER
ALLGATHER,103,RING_OVER
ALLGATHER,201,SWING_STATIC_OVER
REDUCE_SCATTER,0,DEFAULT_OMPI
REDUCE_SCATTER,1,NON_OVERLAPPING_OMPI
REDUCE_SCATTER,2,RECURSIVE_HALVING_OMPI
REDUCE_SCATTER,3,RING_OMPI
REDUCE_SCATTER,4,BUTTERFLY_OMPI
REDUCE_SCATTER,101,RECURSIVE_HALVING_OVER
REDUCE_SCATTER,102,RING_OVER
REDUCE_SCATTER,103,BUTTERFLY_OVER
