MPI_Rank,allocation
0,lrdn0155.leonardo.local
1,lrdn0543.leonardo.local
2,lrdn0568.leonardo.local
3,lrdn1196.leonardo.local
4,lrdn1414.leonardo.local
5,lrdn1430.leonardo.local
6,lrdn1431.leonardo.local
7,lrdn1484.leonardo.local
8,lrdn1507.leonardo.local
9,lrdn1557.leonardo.local
10,lrdn1567.leonardo.local
11,lrdn1697.leonardo.local
12,lrdn1822.leonardo.local
13,lrdn1898.leonardo.local
14,lrdn1923.leonardo.local
15,lrdn1931.leonardo.local
16,lrdn1958.leonardo.local
17,lrdn2010.leonardo.local
18,lrdn2065.leonardo.local
19,lrdn2280.leonardo.local
20,lrdn2408.leonardo.local
21,lrdn2440.leonardo.local
22,lrdn2457.leonardo.local
23,lrdn2551.leonardo.local
24,lrdn2643.leonardo.local
25,lrdn2883.leonardo.local
26,lrdn2892.leonardo.local
27,lrdn2992.leonardo.local
28,lrdn3000.leonardo.local
29,lrdn3027.leonardo.local
30,lrdn3034.leonardo.local
31,lrdn3093.leonardo.local
